TÊN ĐƯỜNG,Giá đất đề nghị điều chỉnh,District
TỰ LẬP,94800,Tân Bình
TỨ HẢI,83100,Tân Bình
TRẦN MAI NINH,103300,Tân Bình
TRẦN QUỐC HOÀN,161800,Tân Bình
TRẦN THÁI TÔNG,75800,Tân Bình
TRẦN THÁNH TÔNG,56900,Tân Bình
TRẦN TRIỆU LUẬT,95500,Tân Bình
TRẦN VĂN DƯ,100500,Tân Bình
TRẦN VĂN HOÀNG,75800,Tân Bình
TRẦN VĂN QUANG,99200,Tân Bình
TRÀ KHÚC,99900,Tân Bình
TRƯƠNG CÔNG ĐỊNH,121100,Tân Bình
TRƯƠNG HOÀNG THANH,84700,Tân Bình
TRƯỜNG CHINH,163600,Tân Bình
TRƯỜNG SA,127800,Tân Bình
TRƯỜNG SƠN,161800,Tân Bình
TRUNG LANG,85400,Tân Bình
ÚT TỊCH,128300,Tân Bình
VÂN CÔI,93300,Tân Bình
VĂN CHUNG,100500,Tân Bình
TÂN SƠN,64200,Tân Bình
VÕ THÀNH TRANG,91900,Tân Bình
XUÂN DIỆU,155300,Tân Bình
XUÂN HỒNG,155300,Tân Bình
YÊN THẾ,128100,Tân Bình
"ĐƯỜNG DỰ ÁN 
KÊNH MƯƠNG NHẬT BẢN",68900,Tân Bình
ĐƯỜNG NỐI ĐƯỜNG TRẦN QUỐC HOÀN - ĐƯỜNG CỘNG HÒA,137100,Tân Bình
ĐẶNG MINH TRỨ,74300,Tân Bình
AN DƯƠNG VƯƠNG,76600,Bình Tân
AO ĐÔI,39100,Bình Tân
ẤP CHIẾN LƯỢC,45400,Bình Tân
BẾN LỘI,34000,Bình Tân
BÌNH LONG,77100,Bình Tân
BÙI DƯƠNG LỊCH,36700,Bình Tân
BÙI HỮU DIÊN,37500,Bình Tân
BÙI HỮU DIỆN,33000,Bình Tân
BÙI TƯ TOÀN,48500,Bình Tân
"CÁC ĐƯỜNG 2, LÔ D THUỘC KHU DÂN CƯ NAM HÙNG VƯƠNG ( đường 16m)",46700,Bình Tân
"CÁC ĐƯỜNG 1A, 2,3, LÔ D THUỘC KHU DÂN CƯ NAM HÙNG VƯƠNG ( đường 15m)",56700,Bình Tân
"CÁC ĐƯỜNG 2, 2A, 2B, 4, 6, LÔ D THUỘC KHU DÂN CƯ NAM HÙNG VƯƠNG ( đường 12m)",43400,Bình Tân
"CÁC ĐƯỜNG SỐ 1A, 1B, 3A, 4B, 6C, 8, 8A, 10, 11, 13, 15, 15A, 17A, 20, 21B, 22, 24, 24A, 24B, 25B, 27, 28, 30, 32, 32A, 33, 34, 34A, 36, 41 THUỘC KHU DÂN CƯ BÌNH TRỊ ĐÔNG B (P. BTĐB, P. AN LẠC A)",51500,Bình Tân
"CÁC ĐƯỜNG SỐ 2, 3, 4, 5, 9 THUỘC KHU DÂN CƯ NAM LONG",32900,Bình Tân
"CÁC ĐƯỜNG SỐ 3A, 4A, 5A, 6, 8, 10, 11, 13, 15, 17, 19, 21, 23, THUỘC KHU SAU KHU DÂN CƯ NAM LONG",32900,Bình Tân
"CÁC ĐƯỜNG SỐ 4A, 5A, 6A, 6B, 7A, 8B, 8C, 12, 12A, 12B, 16, 18, 19A, 19B, 19C, 19D, 19E, 19F, 21, 21A, 21E, 23, 25, 25A, 26, 28A, 31, 31A, 32B, 33A, 33B, 34B, 39 THUỘC KHU DÂN CƯ BÌNH TRỊ ĐÔNG B (P. BTĐ B, P. AN LẠC A)",45400,Bình Tân
"CÁC ĐƯỜNG SỐ 1, 2, 5 THUỘC DỰ ÁN CƯ XÁ PHÚ LÂM C MỞ RỘNG (PHƯỜNG AN LẠC A)",51500,Bình Tân
"CÁC ĐƯỜNG SỐ 3, 4 THUỘC DỰ ÁN CƯ XÁ PHÚ LÂM C MỞ RỘNG (PHƯỜNG AN LẠC A)",45400,Bình Tân
"CÁC ĐƯỜNG SỐ 6E, 6D, 21D THUỘC DỰ ÁN KHU PHỐ CHỢ DA SÀ (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",45400,Bình Tân
"CÁC ĐƯỜNG SỐ 2, 4, 6 THUỘC DỰ ÁN KHU DÂN CƯ THĂNG LONG (PHƯỜNG BÌNH TRỊ ĐÔNG B)",45400,Bình Tân
"CÁC ĐƯỜNG SỐ 2, 3, 4, 5, 6, 7, 8 THUỘC DỰ ÁN KHU DÂN CƯ HAI THÀNH (PHƯỜNG BÌNH TRỊ ĐÔNG B)",45400,Bình Tân
CẦU KINH,21700,Bình Tân
CÂY CÁM,22700,Bình Tân
CHIẾN LƯỢC,38700,Bình Tân
CHIẾN LƯỢC,49400,Bình Tân
DƯƠNG BÁ CUNG,43500,Bình Tân
DƯƠNG TỰ QUÁN,43500,Bình Tân
ĐẤT MỚI (TRƯỚC ĐÂY LÀ ĐƯỜNG BÌNH TRỊ ĐÔNG),62800,Bình Tân
"ĐÌNH NGHI XUÂN, PHƯỜNG BÌNH TRỊ ĐÔNG",48400,Bình Tân
"ĐÌNH TÂN KHAI, PHƯỜNG BÌNH TRỊ ĐÔNG",37000,Bình Tân
ĐỖ NĂNG TẾ,39100,Bình Tân
ĐOÀN PHÚ TỨ,36100,Bình Tân
"ĐƯỜNG 504, PHƯỜNG AN LẠC A",36100,Bình Tân
"ĐƯỜNG 532, PHƯỜNG AN LẠC A",36100,Bình Tân
ĐƯỜNG BIA TRUYỀN THỐNG,40800,Bình Tân
ĐƯỜNG BỜ SÔNG,39100,Bình Tân
ĐƯỜNG BỜ TUYẾN,39000,Bình Tân
ĐƯỜNG MIẾU BÌNH ĐÔNG,47800,Bình Tân
ĐƯỜNG MIẾU GÒ XOÀI,37300,Bình Tân
ĐƯỜNG SỐ 1 KHU DÂN CƯ NAM HÙNG VƯƠNG,56500,Bình Tân
"ĐƯỜNG SỐ 1, PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B",90700,Bình Tân
"ĐƯỜNG SỐ 1, PHƯỜNG BÌNH HƯNG HÒA",41700,Bình Tân
"ĐƯỜNG SỐ 1, PHƯỜNG BÌNH HƯNG HÒA A",52800,Bình Tân
"ĐƯỜNG SỐ 1, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 1, PHƯỜNG BỈNH HƯNG HÒA A",33000,Bình Tân
ĐƯỜNG SỐ 1 THUỘC DỰ ÁN KHU DÂN CƯ HAI THÀNH (PHƯỜNG BÌNH TRỊ ĐÔNG B),51500,Bình Tân
"ĐƯỜNG SỐ 1, KHU PHỐ 7 PHƯỜNG TÂN TẠO A",40100,Bình Tân
"ĐƯỜNG SỐ 1, KHU PHỐ 5 PHƯỜNG TÂN TẠO A",40100,Bình Tân
"ĐƯỜNG SỐ 1B, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 1C, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 1C, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",43300,Bình Tân
"ĐƯỜNG SỐ 1D, KP4-PHƯỜNG AN LẠC A",45400,Bình Tân
"ĐƯỜNG SỐ 2, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 2, PHƯỜNG BÌNH HƯNG HÒA A",35000,Bình Tân
"ĐƯỜNG SỐ 2, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 2, PHƯỜNG BÌNH HƯNG HÒA ",28400,Bình Tân
"ĐƯỜNG SỐ 2, PHƯỜNG BÌNH HƯNG HÒA B",39300,Bình Tân
ĐƯỜNG SỐ 2 KHU DÂN CƯ AN LẠC A,51500,Bình Tân
"ĐƯỜNG SỐ 2, PHƯỜNG TÂN TẠO",43300,Bình Tân
"ĐƯỜNG SỐ 2A, 2B, 2C, THUỘC KHU DÂN CƯ AN LẠC A",51500,Bình Tân
"ĐƯỜNG SỐ 2A, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 2B, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 3, PHƯỜNG BÌNH HƯNG HÒA",28400,Bình Tân
"ĐƯỜNG SỐ 3, KHU PHỐ 7 PHƯỜNG TÂN TẠO A",40100,Bình Tân
"ĐƯỜNG SỐ 3, PHƯỜNG BÌNH TRỊ ĐÔNG B",63900,Bình Tân
"ĐƯỜNG SỐ 3, PHƯỜNG BÌNH HƯNG HÒA A",52800,Bình Tân
"ĐƯỜNG SỐ 3A, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 3B, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 3B, 3C, 3, 5,  THUỘC KHU SAU KHU DÂN CƯ AN LẠC A",51500,Bình Tân
"ĐƯỜNG SỐ 3C, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 4, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",82400,Bình Tân
"ĐƯỜNG SỐ 4, PHƯỜNG BÌNH HƯNG HÒA",28400,Bình Tân
"ĐƯỜNG SỐ 4, PHƯỜNG BÌNH HƯNG HÒA A",29200,Bình Tân
"ĐƯỜNG SỐ 4, PHƯỜNG BÌNH HƯNG HÒA A",39700,Bình Tân
"ĐƯỜNG SỐ 4, PHƯỜNG BÌNH HƯNG HÒA B",39300,Bình Tân
"ĐƯỜNG SỐ 4, PHƯỜNG TÂN TẠO",43300,Bình Tân
"ĐƯỜNG SỐ 4C, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",49400,Bình Tân
"ĐƯỜNG SỐ 5, PHƯỜNG BÌNH TRỊ ĐÔNG B",82400,Bình Tân
"ĐƯỜNG SỐ 5, PHƯỜNG BÌNH HƯNG HÒA",41300,Bình Tân
"ĐƯỜNG SỐ 5, PHƯỜNG BÌNH HƯNG HÒA A",52800,Bình Tân
"ĐƯỜNG SỐ 5A, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 5B, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",59800,Bình Tân
"ĐƯỜNG SỐ 5B, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 5C, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 5D, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 5E, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 5F, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 6, PHƯỜNG TÂN TẠO",43300,Bình Tân
ĐƯỜNG SỐ 6 THUỘC KHU DÂN CƯ BÌNH TRỊ ĐÔNG B,63900,Bình Tân
"ĐƯỜNG SỐ 6, PHƯỜNG BÌNH HƯNG HÒA",28400,Bình Tân
"ĐƯỜNG SỐ 6, PHƯỜNG BÌNH HƯNG HÒA A",35000,Bình Tân
"ĐƯỜNG SỐ 6, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",63900,Bình Tân
"ĐƯỜNG SỐ 6 (LIÊN KHU 5 CŨ), PHƯỜNG BÌNH HƯNG HÒA B",28400,Bình Tân
ĐƯỜNG SỐ 7 KHU DÂN CƯ NAM LONG,47300,Bình Tân
"ĐƯỜNG SỐ 7, PHƯỜNG BÌNH HƯNG HÒA",28400,Bình Tân
"ĐƯỜNG SỐ 7, PHƯỜNG BÌNH HƯNG HÒA A",49600,Bình Tân
"ĐƯỜNG SỐ 7A, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 7B, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",63900,Bình Tân
"ĐƯỜNG SỐ 8, PHƯỜNG BÌNH HƯNG HÒA",41300,Bình Tân
"ĐƯỜNG SỐ 8, PHƯỜNG BÌNH HƯNG HÒA A",40900,Bình Tân
"ĐƯỜNG SỐ 8, PHƯỜNG BÌNH HƯNG HÒA B",39300,Bình Tân
"ĐƯỜNG SỐ 8B, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 8D, PHƯỜNG BÌNH TRỊ ĐÔNG B",45400,Bình Tân
"ĐƯỜNG SỐ 9, PHƯỜNG BÌNH HƯNG HÒA",28400,Bình Tân
"ĐƯỜNG SỐ 9, PHƯỜNG BÌNH HƯNG HÒA A",46300,Bình Tân
"ĐƯỜNG SỐ 9A, PHƯỜNG AN LẠC A",51500,Bình Tân
"ĐƯỜNG SỐ 9A, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 9B, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",49400,Bình Tân
"ĐƯỜNG SỐ 10, PHƯỜNG BÌNH HƯNG HÒA",41300,Bình Tân
"ĐƯỜNG SỐ 10, PHƯỜNG BÌNH HƯNG HÒA A",35000,Bình Tân
"ĐƯỜNG SỐ 10, PHƯỜNG BÌNH HƯNG HÒA B",39300,Bình Tân
"ĐƯỜNG SỐ 11, PHƯỜNG BÌNH HƯNG HÒA",41300,Bình Tân
"ĐƯỜNG SỐ 11, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 11A, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",49400,Bình Tân
"ĐƯỜNG SỐ 12, PHƯỜNG BÌNH HƯNG HÒA",40900,Bình Tân
"ĐƯỜNG SỐ 12, PHƯỜNG BÌNH HƯNG HÒA A",29200,Bình Tân
"ĐƯỜNG SỐ 13, PHƯỜNG BÌNH HƯNG HÒA",41300,Bình Tân
"ĐƯỜNG SỐ 13, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 13A, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 13A, PHƯỜNG BÌNH TRỊ ĐÔNG B",51500,Bình Tân
"ĐƯỜNG SỐ 13B, PHƯỜNG BÌNH TRỊ ĐÔNG B",51500,Bình Tân
"ĐƯỜNG SỐ 13C, PHƯỜNG BÌNH TRỊ ĐÔNG B",51500,Bình Tân
"ĐƯỜNG SỐ 14, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",51500,Bình Tân
"ĐƯỜNG SỐ 14, PHƯỜNG BÌNH HƯNG HÒA A",35000,Bình Tân
"ĐƯỜNG SỐ 14A, PHƯỜNG BÌNH HƯNG HÒA A",29200,Bình Tân
"ĐƯỜNG SỐ 14B, PHƯỜNG BÌNH HƯNG HÒA A",29200,Bình Tân
"ĐƯỜNG SỐ 15, PHƯỜNG BÌNH HƯNG HÒA",41300,Bình Tân
"ĐƯỜNG SỐ 16, PHƯỜNG BÌNH HƯNG HÒA",41700,Bình Tân
"ĐƯỜNG SỐ 16, PHƯỜNG BÌNH HƯNG HÒA A",30900,Bình Tân
"ĐƯỜNG SỐ 16A, PHƯỜNG BÌNH HƯNG HÒA A",29200,Bình Tân
"ĐƯỜNG SỐ 17, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",51500,Bình Tân
"ĐƯỜNG SỐ 17, PHƯỜNG BÌNH HƯNG HÒA A",39600,Bình Tân
"ĐƯỜNG SỐ 17A, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
"ĐƯỜNG SỐ 17B, KHU DÂN CƯ AN LẠC - BÌNH TRỊ ĐÔNG (PHƯỜNG AN LẠC A, PHƯỜNG BÌNH TRỊ ĐÔNG B)",51500,Bình Tân
"ĐƯỜNG SỐ 17C, PHƯỜNG BÌNH TRỊ ĐÔNG B",51500,Bình Tân
"ĐƯỜNG SỐ 18, PHƯỜNG BÌNH HƯNG HÒA",76500,Bình Tân
"ĐƯỜNG SỐ 18A, PHƯỜNG BÌNH HƯNG HÒA A",30900,Bình Tân
"ĐƯỜNG 18B, PHƯỜNG BÌNH HƯNG HÒA A",37000,Bình Tân
"ĐƯỜNG SỐ 18C, PHƯỜNG BÌNH HƯNG HÒA A",30900,Bình Tân
"ĐƯỜNG SỐ 18D, PHƯỜNG BÌNH HƯNG HÒA A",30900,Bình Tân
ĐƯỜNG SỐ 18E PHƯỜNG BÌNH HƯNG HÒA A,30900,Bình Tân
"ĐƯỜNG SỐ 19, PHƯỜNG BÌNH TRỊ ĐÔNG B",98800,Bình Tân
"ĐƯỜNG SỐ 19, PHƯỜNG BÌNH HƯNG HÒA A",40900,Bình Tân
"ĐƯỜNG SỐ 19A, PHƯỜNG BÌNH HƯNG HÒA A",34000,Bình Tân
"ĐƯỜNG SỐ 20, PHƯỜNG BÌNH HƯNG HÒA A",36300,Bình Tân
"ĐƯỜNG SỐ 21, PHƯỜNG BÌNH HƯNG HÒA A",30900,Bình Tân
"ĐƯỜNG SỐ 21D, PHƯỜNG BÌNH TRỊ ĐÔNG B",45400,Bình Tân
"ĐƯỜNG SỐ 22, PHƯỜNG BÌNH HƯNG HÒA A",38900,Bình Tân
"ĐƯỜNG SỐ 23A, PHƯỜNG BÌNH TRỊ ĐÔNG B",51500,Bình Tân
"ĐƯỜNG SỐ 23B, PHƯỜNG BÌNH TRỊ ĐÔNG B",51500,Bình Tân
"ĐƯỜNG SỐ 24, PHƯỜNG BÌNH HƯNG HÒA A",38900,Bình Tân
"ĐƯỜNG SỐ 24A, PHƯỜNG BÌNH HƯNG HÒA A",35000,Bình Tân
"ĐƯỜNG SỐ 25, PHƯỜNG BÌNH HƯNG HÒA A",33000,Bình Tân
ĐƯỜNG SỐ 26/3 PHƯỜNG BÌNH HƯNG HOÀ,49600,Bình Tân
ĐƯỜNG SỐ 29 THUỘC KHU DÂN CƯ BÌNH TRỊ ĐÔNG B,63800,Bình Tân
"ĐƯỜNG SỐ 38, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 38A, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 40, PHƯỜNG TÂN TẠO",72100,Bình Tân
"ĐƯỜNG SỐ 40A, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 40B, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 42, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 42A, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 43, PHƯỜNG BÌNH TRỊ ĐÔNG B",51500,Bình Tân
"ĐƯỜNG SỐ 44, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 46, PHƯỜNG TÂN TẠO",63900,Bình Tân
"ĐƯỜNG SỐ 46A, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 46B, PHƯỜNG TÂN TẠO",45400,Bình Tân
ĐƯỜNG SỐ 47 PHƯỜNG TÂN TẠO,45400,Bình Tân
"ĐƯỜNG SỐ 48, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 48A, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 48B, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 48C, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 49, PHƯỜNG TÂN TẠO",72100,Bình Tân
"ĐƯỜNG SỐ 49A, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 49B, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 49C, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 50, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 50A, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 50B, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 50C, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 50D, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 51, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 52, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 52A, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 52B, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 53, PHƯỜNG TÂN TẠO",45400,Bình Tân
"ĐƯỜNG SỐ 53A, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 53B, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 53C, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 53D, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 54, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 54A, PHƯỜNG TÂN TẠO",51500,Bình Tân
"ĐƯỜNG SỐ 55, PHƯỜNG TÂN TẠO",63900,Bình Tân
"ĐƯỜNG SỐ 55A, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 55B, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 57, PHƯỜNG TÂN TẠO",63900,Bình Tân
"ĐƯỜNG SỐ 57A, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 57B, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 57C, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 59, PHƯỜNG TÂN TẠO",47400,Bình Tân
"ĐƯỜNG SỐ 59B, PHƯỜNG TÂN TẠO",47400,Bình Tân
GÒ XOÀI,54500,Bình Tân
HỒ HỌC LÃM,59300,Bình Tân
HỒ VĂN LONG,52500,Bình Tân
HỒ VĂN LONG,38300,Bình Tân
HOÀNG VĂN HỢP,59800,Bình Tân
HƯƠNG LỘ 2,67900,Bình Tân
HƯƠNG LỘ 3,77100,Bình Tân
KÊNH C (NGUYỄN ĐÌNH KIÊN CŨ),20800,Bình Tân
"KÊNH NƯỚC ĐEN, PHƯỜNG BÌNH HƯNG HÒA, PHƯỜNG BÌNH HƯNG HÒA A",59000,Bình Tân
"KÊNH NƯỚC ĐEN, PHƯỜNG AN LẠC A",43500,Bình Tân
KHIẾU NĂNG TỈNH,59800,Bình Tân
KINH DƯƠNG VƯƠNG,105100,Bình Tân
KINH DƯƠNG VƯƠNG,81000,Bình Tân
LÂM HOÀNH,43300,Bình Tân
LÂM HOÀNH,43300,Bình Tân
LÊ CƠ,48500,Bình Tân
LÊ CƠ,59900,Bình Tân
LÊ CÔNG PHÉP,36100,Bình Tân
LÊ ĐÌNH CẨN,45500,Bình Tân
LÊ ĐÌNH DƯƠNG,44200,Bình Tân
LÊ NGUNG,23700,Bình Tân
LÊ TẤN BÊ,48500,Bình Tân
LÊ TRỌNG TẤN,87500,Bình Tân
LÊ VĂN QUỚI,81600,Bình Tân
LIÊN KHU 1 - 6 BÌNH TRỊ ĐÔNG,37000,Bình Tân
LIÊN KHU 2 - 5 BÌNH TRỊ ĐÔNG,53400,Bình Tân
"LIÊN KHU 2-10, PHƯỜNG BÌNH HƯNG HOÀ A",33200,Bình Tân
"LIÊN KHU 4-5, PHƯỜNG BÌNH HƯNG HÒA B",28400,Bình Tân
"LIÊN KHU 5-6, PHƯỜNG BÌNH HƯNG HÒA B",28400,Bình Tân
"LIÊN KHU 5-11-12, PHƯỜNG BÌNH TRỊ ĐÔNG",53400,Bình Tân
"LIÊN KHU 7-13, PHƯỜNG BÌNH HƯNG HOÀ A",33000,Bình Tân
"LIÊN KHU 8-9, PHƯỜNG BÌNH HƯNG HOÀ A",30900,Bình Tân
"LIÊN KHU PHỐ 10-11, PHƯỜNG BÌNH TRỊ ĐÔNG",59000,Bình Tân
LIÊN KHU 16 - 18 BÌNH TRỊ ĐÔNG,43500,Bình Tân
LỘ TẺ,39000,Bình Tân
LÔ TƯ,30900,Bình Tân
MÃ LÒ,63800,Bình Tân
BÌNH THÀNH,55800,Bình Tân
BÌNH THÀNH,72100,Bình Tân
BÌNH THÀNH,55800,Bình Tân
NGÔ Y LINH,35200,Bình Tân
NGUYỄN CỬU PHÚ,38900,Bình Tân
NGUYỄN HỚI,45800,Bình Tân
NGUYỄN QUÝ YÊM,35200,Bình Tân
NGUYỄN THỊ TÚ,74000,Bình Tân
NGUYỄN THỨC ĐƯỜNG,54000,Bình Tân
NGUYỄN THỨC TỰ,43500,Bình Tân
NGUYỄN TRIỆU LUẬT,27200,Bình Tân
NGUYỄN TRỌNG TRÍ,43500,Bình Tân
NGUYỄN VĂN CỰ,26300,Bình Tân
PHẠM BÀNH,41200,Bình Tân
PHẠM ĐĂNG GIẢNG,80600,Bình Tân
PHAN CÁT TỰU,0,Bình Tân
PHAN ANH,74500,Bình Tân
PHAN ĐÌNH THÔNG,47700,Bình Tân
PHÙNG TÁ CHU,41700,Bình Tân
QUỐC LỘ 1A,51100,Bình Tân
SINCO,33800,Bình Tân
SÔNG SUỐI,38200,Bình Tân
TẠ MỸ DUẬT,39100,Bình Tân
TÂN HÒA ĐÔNG,64700,Bình Tân
TÂN KỲ TÂN QUÝ,77100,Bình Tân
TẬP ĐOÀN 6B,28400,Bình Tân
TÂY LÂN,34000,Bình Tân
TÊN LỬA,90700,Bình Tân
TÊN LỬA,70200,Bình Tân
TỈNH LỘ 10,63500,Bình Tân
TỈNH LỘ 10,53800,Bình Tân
TỈNH LỘ 10,49000,Bình Tân
TRẦN ĐẠI NGHĨA,54800,Bình Tân
TRẦN THANH MẠI,39000,Bình Tân
TRẦN VĂN GIÀU,90700,Bình Tân
TRẦN VĂN GIÀU,44600,Bình Tân
TRƯƠNG PHƯỚC PHAN,49900,Bình Tân
VÀNH ĐAI TRONG,92800,Bình Tân
VĨNH LỘC (HƯƠNG LỘ 80),47300,Bình Tân
VÕ VĂN VÂN ,37400,Bình Tân
VŨ HỮU,37500,Bình Tân
VƯƠNG VĂN HUỐNG,41200,Bình Tân
VÕ VĂN KIỆT,86800,Bình Tân
HOÀNG HƯNG,34500,Bình Tân
VÕ TRẦN CHÍ,25600,Bình Tân
"ĐƯỜNG SỐ 7, KHU DÂN CƯ AN LẠC - PHƯỜNG BÌNH TRỊ ĐÔNG",90700,Bình Tân
