,Diện Tích,Giá,Triệu/m2,Số Phòng Ngủ,Số Nhà Vệ Sinh,Giá Đề Xuất,Giá Quận,Giá Đường
4240,67.0,10.5,156.7,4.0,3.0,226800.0,8.35,6.7
4241,147.97,7.5,50.7,3.0,3.0,64800.0,6.95,6.5
4244,62.3,5.75,92.3,4.0,3.0,58100.0,4.65,3.96
4245,97.6,16.8,172.1,9.0,9.0,176500.0,12.0,13.1
4246,229.0,149.0,650.7,5.0,5.0,416000.0,14.0,13.75
4247,70.0,7.9,112.9,2.0,2.0,132000.0,7.5,8.100000000000001
4248,105.0,10.0,95.2,3.0,3.0,81000.0,6.7,4.95
4249,30.0,1.59,53.0,2.0,2.0,120500.0,4.65,3.5
4250,56.0,1.95,34.8,4.0,3.0,64800.0,6.95,7.050000000000001
4261,60.0,5.5,91.7,4.0,4.0,28400.0,4.675000000000001,5.5
4262,100.0,10.9,109.0,4.0,5.0,64800.0,6.7,12.75
4272,80.0,7.0,87.5,4.0,5.0,105300.0,6.7,7.5
4277,60.0,8.0,133.3,4.0,5.0,145800.0,4.7,8.8
4294,80.0,7.5,93.8,4.0,4.0,72900.0,6.7,14.0
4300,345.0,43.5,126.1,8.0,8.0,96400.0,8.19,8.8
4304,140.0,25.0,178.6,5.0,6.0,121500.0,6.7,49.0
4308,106.0,9.645999999999999,91.0,3.0,5.0,37200.0,7.5,9.645999999999999
4309,85.0,5.16,60.7,2.0,2.0,72900.0,6.5,6.2
4310,45.1,5.35,118.6,6.0,6.0,50200.0,6.0,3.95
4312,79.0,7.3,92.4,3.0,2.0,40500.0,6.95,7.2
4313,95.0,37.0,389.5,7.0,7.0,66200.0,7.5,34.0
4314,51.0,6.5,127.5,1.0,1.0,132000.0,7.5,7.300000000000001
4316,80.0,11.5,143.8,5.0,5.0,145000.0,8.9,9.6
4317,56.83,1.4,24.6,2.0,2.0,52700.0,4.7,1.4
4319,57.0,9.3,163.2,4.0,4.0,103300.0,8.19,8.9
4320,88.0,3.1,35.2,3.0,2.0,87500.0,6.5,3.1
4324,181.0,17.5,96.7,10.0,10.0,78500.0,8.19,17.5
4325,90.0,9.8,108.9,4.0,5.0,69700.0,6.0,6.550000000000001
4327,30.0,2.5,83.3,2.0,2.0,188600.0,12.0,23.0
4329,30.0,8.5,283.3,4.0,5.0,114300.0,8.19,8.5
4330,140.0,32.0,228.6,6.0,7.0,64800.0,6.95,7.050000000000001
4332,56.0,1.8,32.1,2.0,1.0,66200.0,7.5,4.0
4334,104.0,5.8,55.8,3.0,2.0,72900.0,6.5,6.2
4335,75.0,4.8,64.0,2.0,2.0,52500.0,5.2,4.896000000000001
4336,99.0,5.45,55.1,2.0,2.0,93150.0,6.7,7.5
4346,121.0,30.0,247.9,3.0,2.0,416000.0,14.0,13.75
4347,74.0,4.1,55.4,2.0,2.0,66200.0,7.5,4.0
4348,50.0,1.42,28.4,1.0,1.0,48600.0,6.95,1.685
4354,60.0,1.55,25.8,2.0,2.0,48600.0,6.95,1.685
4356,52.0,2.0,38.5,2.0,2.0,129600.0,6.7,6.4
4357,48.3,5.9,122.2,4.0,4.0,175600.0,7.51,11.0
4363,106.11,11.8,111.2,2.0,2.0,151500.0,8.9,11.0
4365,85.0,4.5,52.9,2.0,2.0,72900.0,6.5,6.2
4368,46.5,2.2,47.3,4.0,3.0,26500.0,4.65,5.95
4370,40.0,4.3,107.5,2.0,1.0,101300.0,6.0,6.6
4371,71.0,3.75,52.8,2.0,2.0,72900.0,6.5,6.2
4372,68.0,9.3,136.8,4.0,6.0,64800.0,6.95,7.050000000000001
4373,40.0,3.7,92.5,4.0,3.0,62400.0,6.0,3.825
4375,80.0,4.9,61.3,5.0,5.0,26300.0,4.05,3.1750000000000003
4376,100.0,18.8,188.0,5.0,5.0,116600.0,6.0,18.8
4377,90.0,9.2,102.2,4.0,3.0,55900.0,7.5,8.85
4378,50.0,8.7,174.0,9.0,9.0,72500.0,8.9,17.4
4379,90.0,12.5,138.9,2.0,2.0,295000.0,7.5,14.25
4382,53.0,9.19,173.4,4.0,5.0,113000.0,8.9,8.075
4383,94.0,11.5,122.3,2.0,2.0,295000.0,7.5,14.25
4385,137.0,21.5,156.9,3.0,2.0,295000.0,7.5,14.25
4388,110.0,10.5,95.5,4.0,6.0,90700.0,7.5,10.5
4391,103.0,18.0,174.8,4.0,5.0,68900.0,7.5,11.1
4393,100.0,11.8,118.0,3.0,4.0,90700.0,7.5,11.8
4401,80.0,6.19,77.4,3.0,3.0,299700.0,8.35,5.77
4403,290.0,100.0,344.8,4.0,4.0,295000.0,7.5,100.0
4410,49.5,9.2,185.9,4.0,5.0,73700.0,8.9,9.15
4414,115.0,5.4,47.0,4.0,3.0,67900.0,4.675000000000001,5.65
4416,64.0,9.0,140.6,5.0,6.0,69700.0,6.0,6.550000000000001
4418,67.5,6.8,100.7,4.0,4.0,43500.0,4.675000000000001,6.8
4420,44.0,1.9,43.2,2.0,2.0,73700.0,8.9,9.15
4422,71.0,5.0,70.4,2.0,2.0,66200.0,7.5,4.0
4425,66.0,17.0,257.6,8.0,5.0,198500.0,7.51,11.6
4426,104.0,15.5,149.0,7.0,7.0,105300.0,6.5,6.3
4430,52.0,7.7,148.1,3.0,4.0,94000.0,6.5,7.7
4435,78.2,7.0,89.5,2.0,2.0,179800.0,8.9,9.9
4438,60.0,13.9,231.7,6.0,6.0,200800.0,12.0,10.6
4439,53.6,15.0,279.9,4.0,4.0,141500.0,12.0,13.8
4443,62.5,6.6,105.6,2.0,1.0,179800.0,8.9,9.9
4446,85.0,4.5,52.9,2.0,2.0,72900.0,6.5,6.2
4449,47.0,12.5,266.0,4.0,5.0,130400.0,4.7,7.35
4450,51.0,6.25,122.5,3.0,3.0,101300.0,6.0,6.6
4452,95.0,8.3,87.4,4.0,4.0,66200.0,7.5,8.3
4454,40.0,3.6,90.0,2.0,2.0,115000.0,6.5,10.5
4455,197.0,55.0,279.2,12.0,12.0,120700.0,7.5,21.75
4456,80.0,5.7,71.3,3.0,2.0,64800.0,6.95,7.050000000000001
4462,46.6,6.6,141.6,2.0,2.0,117400.0,7.51,6.6
4466,52.0,1.98,38.1,3.0,2.0,78200.0,7.51,5.9
4468,65.0,1.7,26.2,2.0,1.0,55900.0,6.95,1.7
4469,70.0,6.5,92.9,4.0,4.0,49850.0,7.5,6.5
4473,44.0,8.15,185.2,3.0,3.0,97200.0,8.9,8.4
4480,50.0,5.1,102.0,3.0,4.0,40100.0,5.2,7.6
4484,37.0,4.9,132.4,3.0,2.0,71700.0,6.7,4.3950000000000005
4494,75.0,17.5,233.3,4.0,4.0,158200.0,7.51,15.0
4496,63.3,27.9,440.8,6.0,7.0,188600.0,12.0,23.0
4498,95.0,20.0,210.5,7.0,6.0,164900.0,8.35,5.6
4503,111.0,25.0,225.2,5.0,6.0,260000.0,4.6,4.9
4508,92.5,22.0,237.8,5.0,6.0,283000.0,4.6,4.075
4512,84.3,38.0,450.8,6.0,6.0,179100.0,4.6,6.75
4513,52.0,13.2,253.8,4.0,5.0,286000.0,14.0,16.5
4534,51.0,2.75,53.9,2.0,1.0,76600.0,4.675000000000001,3.63
4538,45.0,6.65,147.8,2.0,2.0,81000.0,6.7,9.9
4542,80.0,14.5,181.2,3.0,3.0,173300.0,7.51,11.0
4544,30.0,3.3,110.0,2.0,2.0,44050.0,4.675000000000001,3.925
4546,82.0,7.7,93.9,4.0,5.0,64800.0,6.95,7.050000000000001
4547,40.0,3.08,77.0,3.0,4.0,73700.0,8.9,3.75
4548,38.4,3.1,80.7,2.0,2.0,43700.0,6.95,6.45
4550,74.0,18.0,243.2,4.0,3.0,173300.0,7.51,11.0
4551,123.0,17.0,138.2,5.0,6.0,53500.0,6.95,17.0
4553,110.0,20.0,181.8,5.0,5.0,145000.0,8.9,9.6
4554,44.0,8.15,185.2,3.0,3.0,97200.0,8.9,8.4
4555,60.0,12.5,208.3,3.0,3.0,158200.0,7.51,15.0
4557,60.2,7.5,124.6,3.0,4.0,98100.0,7.51,6.75
4558,27.0,3.45,127.8,2.0,2.0,93150.0,6.7,7.5
4560,70.0,5.2,74.3,3.0,2.0,40500.0,6.95,7.2
4562,109.0,31.0,284.4,15.0,16.0,409900.0,14.0,24.45
4563,60.0,12.5,208.3,3.0,2.0,173300.0,7.51,11.0
4564,120.0,20.0,166.7,6.0,6.0,102900.0,8.9,7.8
4567,128.0,59.0,460.9,6.0,6.0,278700.0,14.0,11.594999999999999
4570,62.0,13.0,209.7,4.0,3.0,173300.0,7.51,11.0
4575,30.0,1.85,61.7,1.0,1.0,48600.0,6.95,1.685
4579,203.72,86.0,422.1,4.0,5.0,225500.0,14.0,39.0
4581,142.7,15.5,108.6,3.0,5.0,145800.0,6.7,15.5
4584,160.0,14.5,90.6,8.0,8.0,61600.0,6.95,14.5
4585,90.3,13.5,149.5,4.0,4.0,109400.0,7.51,9.9
4588,150.0,50.0,333.3,8.0,8.0,175700.0,14.0,7.45
4589,73.0,6.6,90.4,2.0,2.0,129600.0,6.7,6.4
4590,109.0,18.3,167.9,5.0,4.0,133300.0,7.51,10.2
4593,160.0,14.5,90.6,8.0,8.0,61600.0,6.95,14.5
4594,160.0,26.0,162.5,12.0,14.0,76600.0,6.5,25.9
4598,83.0,5.9,71.1,3.0,2.0,128000.0,7.51,5.65
4602,96.0,10.7,111.5,3.0,2.0,132000.0,7.5,8.100000000000001
4603,95.0,21.0,221.1,4.0,3.0,175600.0,8.19,10.5
4604,50.0,4.9,98.0,3.0,2.0,227600.0,7.51,14.8
4605,32.0,4.95,154.7,3.0,4.0,42800.0,6.0,4.07
4606,123.7,10.0,80.8,3.0,2.0,179800.0,8.9,9.9
4611,62.0,5.45,87.9,4.0,2.0,94000.0,6.5,7.7
4615,24.0,3.39,141.3,2.0,2.0,74300.0,7.51,3.39
4616,62.3,3.2,51.4,4.0,3.0,110200.0,8.19,10.5
4617,80.8,7.1,87.9,2.0,2.0,179800.0,8.9,9.9
4626,65.0,2.25,34.6,2.0,2.0,18400.0,2.6,6.7
4635,123.0,12.5,101.6,3.0,2.0,129600.0,6.7,6.4
4639,13.1,1.8,137.4,2.0,2.0,81000.0,6.7,4.95
4651,103.0,6.52,63.3,3.0,2.0,133500.0,7.51,6.3
4654,46.0,4.95,107.6,2.0,2.0,141800.0,8.9,8.3
4657,18.0,3.39,188.3,3.0,4.0,179800.0,8.9,9.9
4658,122.0,6.2,50.8,3.0,3.0,146300.0,4.4,3.15
4660,40.0,4.35,108.7,3.0,2.0,166100.0,8.9,8.645
4664,33.0,4.5,136.4,2.0,2.0,166100.0,8.9,7.630000000000001
4665,69.0,6.5,94.2,3.0,3.0,66400.0,6.0,6.25
4668,30.0,4.35,145.0,2.0,3.0,166100.0,8.9,8.645
4670,88.0,6.9,78.4,4.0,4.0,133600.0,6.0,4.92
4673,146.0,9.5,65.1,3.0,2.0,129600.0,6.7,6.4
4677,325.0,150.0,461.5,9.0,12.0,87200.0,12.0,150.0
4678,58.0,5.68,97.9,3.0,2.0,94000.0,6.5,7.7
4679,43.0,5.9,137.2,3.0,2.0,166100.0,8.9,8.645
4684,97.7,5.28,54.0,2.0,2.0,72900.0,6.5,6.2
4685,73.5,3.1,42.2,2.0,2.0,93150.0,6.7,7.5
4689,160.0,5.2,32.5,3.0,2.0,129600.0,6.7,6.4
4692,100.0,6.8,68.0,5.0,4.0,81000.0,6.7,4.95
4697,60.0,3.9,65.0,2.0,3.0,64800.0,6.7,3.9
4703,110.0,20.0,181.8,5.0,5.0,68900.0,7.5,11.1
4704,144.6,14.5,100.3,12.0,12.0,44600.0,6.95,14.5
4705,135.0,4.15,30.7,3.0,2.0,129600.0,6.7,6.4
4718,115.0,6.5,56.5,3.0,2.0,129600.0,6.7,6.4
4720,147.0,8.6,58.5,3.0,2.0,129600.0,6.7,6.4
4722,50.0,3.85,77.0,1.0,1.0,164700.0,4.4,4.324999999999999
4725,69.0,4.2,60.9,4.0,4.0,210600.0,8.35,23.25
4730,64.0,1.82,28.4,2.0,2.0,59300.0,4.675000000000001,1.82
4731,82.8,6.7,80.9,2.0,2.0,179800.0,8.9,9.9
4738,72.0,4.9,68.1,2.0,2.0,52500.0,5.2,4.896000000000001
4740,114.0,4.15,36.4,3.0,2.0,26800.0,2.6,2.95
4754,49.0,3.73,76.1,4.0,4.0,133600.0,6.0,4.92
4765,72.0,3.6,50.0,4.0,5.0,68900.0,6.7,8.5
4769,66.4,19.5,293.7,6.0,6.0,227300.0,14.0,19.0
4774,83.0,3.5,42.2,5.0,5.0,127200.0,8.9,3.5
4779,69.5,3.59,51.7,4.0,5.0,100400.0,12.0,3.235
4780,52.0,2.0,38.5,3.0,1.0,143400.0,6.95,3.8
4781,74.0,5.032,68.0,2.0,2.0,52500.0,5.2,4.896000000000001
4784,62.0,3.45,55.6,2.0,1.0,132000.0,7.5,7.300000000000001
4788,47.0,9.5,202.1,9.0,9.0,97200.0,8.9,8.4
4790,80.0,3.39,42.4,4.0,4.0,145800.0,8.9,5.2
4791,76.0,5.5,72.4,2.0,1.0,151500.0,8.9,11.0
4797,60.0,3.2,53.3,4.0,4.0,64800.0,6.95,7.050000000000001
4801,60.0,3.25,54.2,2.0,2.0,124200.0,7.51,8.8
4806,57.0,5.3,93.0,3.0,2.0,68000.0,8.9,5.3
4808,118.0,7.6,64.4,3.0,2.0,151500.0,8.9,11.0
4812,140.0,7.8,55.7,3.0,2.0,151500.0,8.9,11.0
4814,160.0,33.8,211.2,6.0,5.0,145800.0,6.7,15.5
4816,45.0,3.47,77.1,3.0,3.0,133600.0,6.0,4.92
4821,50.0,3.3,66.0,1.0,1.0,260000.0,4.6,4.9
4822,106.7,19.5,182.8,5.0,5.0,204800.0,12.0,17.05
4823,159.0,42.0,264.2,6.0,4.0,247100.0,8.35,15.5
4827,154.8,47.0,303.6,5.0,6.0,127000.0,8.9,47.0
4830,97.0,4.6,47.4,3.0,2.0,132000.0,7.5,7.300000000000001
4833,73.0,5.4,74.0,2.0,1.0,151500.0,8.9,11.0
4837,81.2,1.45,17.9,2.0,2.0,11000.0,2.6,1.45
4839,71.6,4.0,55.9,3.0,3.0,57000.0,5.2,6.85
4840,50.0,11.9,238.0,5.0,4.0,104200.0,6.5,3.5
4843,42.0,2.95,70.2,2.0,2.0,130900.0,8.19,3.3
4847,45.5,2.2,48.4,1.0,1.0,39166.66666666666,5.2,3.7
4851,55.0,2.15,39.1,1.0,1.0,66200.0,7.5,8.3
4852,71.0,4.2,59.2,2.0,2.0,129600.0,6.7,6.4
4864,70.0,5.12,73.1,3.0,2.0,78600.0,4.7,5.12
4868,72.0,4.2,58.3,2.0,2.0,129600.0,6.7,6.4
4880,147.0,21.0,142.9,6.0,6.0,151700.0,8.19,3.19
4885,75.0,6.7,89.3,3.0,4.0,61450.0,7.5,6.7
4888,44.0,1.85,42.0,3.0,3.0,64800.0,6.95,7.050000000000001
4889,100.0,2.35,23.5,3.0,2.0,23750.0,2.6,1.5
4891,68.86,2.7,39.2,2.0,2.0,49850.0,6.95,4.29
4898,75.0,3.6,48.0,2.0,2.0,116600.0,6.0,18.8
4903,65.0,10.5,161.5,3.0,3.0,83983.33333333333,4.7,2.7
4908,86.0,3.8,44.2,3.0,4.0,76933.33333333333,4.7,4.9
4909,74.0,8.3,112.2,4.0,5.0,121500.0,6.5,7.5
4910,72.0,2.8,38.9,4.0,4.0,64800.0,6.95,7.050000000000001
4911,64.0,8.45,132.0,4.0,4.0,72900.0,6.5,6.2
4912,40.0,6.6,165.0,3.0,3.0,187100.0,7.51,6.6
4914,50.0,2.45,49.0,3.0,4.0,36500.0,2.6,2.4000000000000004
4915,200.0,68.0,340.0,5.0,5.0,87200.0,12.0,27.0
4918,58.0,3.0,51.7,2.0,1.0,166100.0,8.9,8.645
4920,66.0,6.8,103.0,3.0,4.0,64800.0,6.95,7.050000000000001
4921,73.1,4.5,61.6,2.0,1.0,48600.0,6.95,3.5
4926,68.0,2.65,39.0,2.0,2.0,49850.0,6.95,4.29
4927,83.0,3.5,42.2,2.0,2.0,195600.0,6.5,3.6500000000000004
4928,80.0,17.0,212.5,5.0,5.0,120700.0,7.5,5.5
4933,82.0,5.33,65.0,2.0,2.0,52500.0,5.2,4.896000000000001
4934,22.0,18.8,854.5,2.0,1.0,101000.0,4.7,7.6
4935,34.2,3.5,102.3,3.0,3.0,95200.0,6.0,4.275
4936,59.0,2.2,37.3,2.0,2.0,66200.0,7.5,4.0
4940,65.0,3.5,53.8,2.0,2.0,40233.333333333336,6.7,2.675
4943,88.6,2.78,31.4,2.0,2.0,85300.0,8.19,2.8899999999999997
4945,64.0,6.2,96.9,4.0,5.0,28400.0,4.675000000000001,8.35
4946,48.0,4.9,102.1,4.0,3.0,36300.0,4.675000000000001,4.9
4947,69.0,3.8,55.1,2.0,2.0,45400.0,6.0,3.8499999999999996
4950,112.5,8.49,75.5,4.0,4.0,90700.0,6.5,6.5
4951,56.0,7.2,128.6,3.0,3.0,67650.0,4.7,4.525
4954,80.0,4.8,60.0,2.0,2.0,120700.0,7.5,5.5
4956,71.0,19.0,267.6,4.0,5.0,133650.0,6.1,6.9
4958,90.0,4.88,54.2,5.0,5.0,160000.0,7.51,4.28
4959,36.0,2.53,70.3,3.0,3.0,50200.0,6.0,4.67
4960,77.0,9.0,116.9,2.0,2.0,132000.0,7.5,8.100000000000001
4962,146.0,28.5,195.2,12.0,15.0,96200.0,8.19,26.2
4966,55.0,3.05,55.5,3.0,3.0,164900.0,8.35,5.6
4967,80.0,25.0,312.5,5.0,5.0,79400.0,7.5,25.0
4968,81.0,3.7,45.7,2.0,2.0,164700.0,4.4,4.324999999999999
4970,80.0,12.3,153.8,10.0,10.0,224600.0,8.19,10.25
4972,51.1,5.1,99.8,3.0,3.0,57000.0,5.2,6.85
4974,46.0,8.5,184.8,5.0,4.0,133650.0,6.1,6.9
4976,55.0,10.2,185.5,4.0,4.0,145800.0,8.9,5.2
4979,165.0,17.0,103.0,7.0,8.0,227600.0,7.51,14.8
4981,50.0,4.6,92.0,4.0,3.0,57000.0,5.2,6.85
4989,145.0,14.5,100.0,12.0,12.0,66400.0,6.95,14.5
4995,40.3,7.95,197.3,4.0,4.0,97200.0,8.9,8.4
4997,90.0,12.6,140.0,5.0,5.0,64800.0,6.95,7.050000000000001
4999,79.2,6.9,87.1,3.0,3.0,166100.0,8.9,8.645
5000,76.0,10.9,143.4,4.0,5.0,77800.0,6.5,11.7
5003,62.5,2.77,44.3,5.0,4.0,120700.0,8.9,10.895
5004,78.0,5.39,69.1,2.0,2.0,164700.0,4.4,4.324999999999999
5005,75.0,4.59,61.2,5.0,5.0,222200.0,14.0,4.59
5013,70.0,2.7,38.6,4.0,5.0,97200.0,8.9,8.4
5016,76.0,1.72,22.6,2.0,2.0,225500.0,4.4,1.72
5017,57.0,2.0,35.1,2.0,1.0,129600.0,6.7,6.4
5018,74.68,5.078240000000001,68.0,2.0,2.0,52500.0,5.2,4.896000000000001
5021,85.0,3.8,44.7,3.0,2.0,74500.0,4.7,3.55
5022,100.0,5.15,51.5,3.0,2.0,116600.0,6.0,18.8
5023,31.0,4.5,145.2,2.0,2.0,55100.0,4.7,4.8
5024,56.7,4.96,87.5,3.0,3.0,226800.0,8.35,6.7
5025,85.0,1.92,22.6,2.0,3.0,97200.0,6.7,2.85
5026,150.0,6.4,42.7,3.0,2.0,145200.0,4.6,6.4
5027,44.0,3.1,70.5,4.0,5.0,226800.0,8.35,7.15
5028,63.0,3.4,54.0,3.0,3.0,110600.0,7.51,3.9450000000000003
5031,44.0,6.0,136.4,2.0,2.0,121500.0,6.5,7.5
5033,111.0,11.0,99.1,5.0,5.0,57000.0,5.2,6.85
5035,62.3,3.5,56.2,3.0,4.0,174500.0,12.0,5.199999999999999
5036,44.3,13.5,304.7,7.0,7.0,409900.0,14.0,24.45
5040,60.0,2.39,39.8,2.0,2.0,90700.0,6.5,4.085
5041,60.0,4.15,69.2,3.0,3.0,74500.0,4.7,3.55
5043,40.0,2.23,55.8,2.0,2.0,45400.0,4.675000000000001,2.31
5045,91.0,4.98,54.7,4.0,4.0,64800.0,6.95,7.050000000000001
5046,55.0,2.45,44.5,3.0,2.0,62400.0,6.0,2.45
5049,45.6,2.2,48.2,3.0,3.0,98100.0,7.51,6.75
5051,50.0,12.5,250.0,3.0,2.0,113400.0,6.5,12.5
5052,53.76,4.69,87.2,3.0,4.0,299700.0,8.35,5.77
5053,54.0,2.79,51.7,2.0,3.0,174500.0,12.0,5.199999999999999
5054,285.0,85.0,298.2,5.0,4.0,295000.0,7.5,14.25
5055,100.0,10.2,102.0,5.0,5.0,94000.0,6.5,7.7
5062,80.0,4.8,60.0,2.0,2.0,164700.0,4.4,4.324999999999999
5063,48.0,2.8,58.3,3.0,4.0,84700.0,8.19,2.8
5066,460.0,32.0,69.6,1.0,1.0,62400.0,7.5,11.4
5067,112.0,5.3,47.3,3.0,2.0,56700.0,6.7,4.05
5069,93.0,6.09,65.5,3.0,2.0,164700.0,4.4,4.324999999999999
5074,110.0,5.4,49.1,3.0,2.0,93300.0,7.51,6.375
5077,90.0,6.5,72.2,3.0,2.0,125300.0,7.51,6.5
5080,35.0,10.9,311.4,2.0,2.0,294400.0,14.0,10.9
5089,104.0,10.4,100.0,3.0,2.0,104300.0,4.4,6.4
5102,167.0,9.5,56.9,4.0,2.0,42950.0,6.95,9.5
5105,141.0,5.56,39.4,3.0,3.0,113000.0,8.9,8.075
5110,115.0,8.6,74.8,4.0,5.0,40500.0,6.95,7.2
5111,43.3,4.29,99.1,2.0,2.0,49850.0,6.95,4.29
5115,105.0,6.9,65.7,2.0,2.0,175700.0,14.0,7.45
5116,66.0,8.6,130.3,7.0,7.0,59000.0,6.0,7.225
5119,56.0,4.2,75.0,3.0,3.0,153900.0,8.35,4.2
5120,7.1,1.25,176.1,1.0,2.0,104300.0,4.4,6.4
5126,48.0,6.5,135.4,5.0,5.0,82600.0,6.0,6.1
5128,80.0,4.0,50.0,2.0,2.0,130900.0,8.19,3.3
5133,92.0,5.4,58.7,3.0,2.0,320900.0,14.0,23.494999999999997
5134,67.0,3.4,50.7,2.0,2.0,61450.0,7.5,6.7
5136,80.0,28.0,350.0,2.0,4.0,111500.0,12.0,15.945
5138,80.0,4.08,51.0,2.0,2.0,52500.0,5.2,4.896000000000001
5139,83.0,3.9,47.0,3.0,2.0,92350.0,6.5,4.4
5144,65.9,3.1,47.0,3.0,4.0,143800.0,12.0,3.1
5145,110.0,8.5,77.3,3.0,2.0,272200.0,7.51,7.75
5146,67.37,2.6,38.6,2.0,2.0,40233.333333333336,6.7,2.675
5147,62.3,2.56,41.1,3.0,4.0,82600.0,6.0,5.875
5148,89.0,3.5,39.3,3.0,2.0,66200.0,7.5,3.6500000000000004
5149,97.0,3.5,36.1,2.0,2.0,195600.0,6.5,3.6500000000000004
5151,78.9,4.15,52.6,2.0,2.0,66200.0,7.5,3.6500000000000004
5152,49.0,1.75,35.7,2.0,1.0,41300.0,4.675000000000001,4.1
5154,50.0,5.7,114.0,4.0,5.0,40100.0,5.2,7.6
5156,142.0,16.0,112.7,3.0,2.0,151500.0,8.9,11.0
5158,53.0,5.9,111.3,1.0,1.0,151500.0,8.9,11.0
5161,92.0,19.0,206.5,4.0,6.0,141700.0,6.5,4.062
5163,60.0,2.79,46.5,3.0,3.0,133300.0,7.51,10.2
5164,54.0,3.2,59.3,2.0,1.0,128000.0,8.19,4.975
5166,53.0,5.9,111.3,1.0,1.0,151500.0,8.9,11.0
5168,52.0,2.53,48.7,2.0,2.0,83983.33333333333,4.7,2.7
5169,80.0,3.8,47.5,2.0,2.0,64800.0,6.95,6.5
5172,72.0,4.896000000000001,68.0,2.0,2.0,52500.0,5.2,4.896000000000001
5175,22.0,1.58,71.8,2.0,1.0,52550.0,2.6,2.665
5176,128.0,14.5,113.3,2.0,2.0,151500.0,8.9,11.0
5178,92.4,2.79,30.2,4.0,5.0,69700.0,6.0,9.445
5180,69.0,3.9,56.5,2.0,2.0,133500.0,7.51,6.3
5181,81.0,6.0,74.1,2.0,2.0,50200.0,7.5,12.25
5183,60.0,4.65,77.5,3.0,2.0,81600.0,4.675000000000001,5.875
5187,49.0,1.95,39.8,2.0,2.0,83983.33333333333,4.7,2.7
5188,105.0,15.0,142.9,2.0,2.0,151500.0,8.9,11.0
5189,99.0,6.8,68.7,3.0,2.0,128000.0,7.51,5.65
5191,95.0,16.4,172.6,3.0,4.0,61450.0,7.5,6.7
5192,150.0,26.0,173.3,4.0,5.0,101300.0,6.0,6.6
5193,77.0,8.5,110.4,3.0,2.0,93150.0,6.7,7.5
5203,95.0,3.95,41.6,4.0,5.0,105300.0,6.7,7.5
5206,97.0,4.8,49.5,3.0,2.0,132000.0,7.5,7.300000000000001
5217,81.0,4.5,55.6,2.0,2.0,164700.0,4.4,4.324999999999999
5232,67.5,2.0,29.6,3.0,3.0,64800.0,6.95,7.050000000000001
5234,52.0,2.89,55.6,4.0,5.0,111000.0,8.9,2.89
5238,54.0,4.0,74.1,2.0,3.0,64800.0,8.9,4.0
5249,71.0,4.2,59.2,2.0,2.0,129600.0,6.7,6.4
5254,280.0,69.9,249.6,10.0,7.0,116600.0,6.0,18.8
5255,19.3,2.45,126.9,1.0,2.0,104300.0,4.4,6.4
5258,60.0,2.7,45.0,2.0,1.0,83983.33333333333,4.7,2.7
5259,940.0,10.2,10.9,2.0,2.0,23000.0,2.6,10.2
5262,40.0,1.89,47.2,1.0,1.0,64800.0,6.95,7.050000000000001
5263,110.0,7.99,72.6,4.0,5.0,64800.0,6.95,7.050000000000001
5265,36.0,3.75,104.2,2.0,2.0,35000.0,4.675000000000001,3.75
5273,75.0,3.2,42.7,3.0,2.0,101300.0,6.0,6.6
5274,40.0,1.17,29.2,1.0,1.0,49800.0,2.6,2.85
5276,60.0,6.4,106.7,4.0,7.0,104300.0,4.4,6.4
5277,40.0,3.79,94.8,3.0,2.0,54500.0,4.675000000000001,5.7
5278,139.0,72.0,518.0,6.0,5.0,32400.0,7.5,44.25
5282,95.0,5.5,57.9,3.0,2.0,129600.0,6.7,6.4
5283,64.0,4.9,76.6,2.0,2.0,76933.33333333333,4.7,4.9
5287,31.0,12.8,412.9,4.0,5.0,267300.0,8.35,8.6
5288,68.0,4.2,61.8,2.0,2.0,129600.0,6.7,6.4
5289,54.0,4.7,87.0,2.0,2.0,74950.0,4.7,3.425
5292,73.9,2.56,34.6,4.0,5.0,95200.0,6.0,4.275
5293,86.0,4.7,54.7,3.0,2.0,132000.0,7.5,7.300000000000001
5294,100.0,4.7,47.0,3.0,2.0,81000.0,6.7,4.95
5295,70.0,14.7,210.0,7.0,5.0,115700.0,7.51,14.7
5297,61.0,12.5,204.9,4.0,5.0,130400.0,4.7,7.35
5299,40.0,6.6,165.0,4.0,4.0,166100.0,8.9,8.645
5301,42.0,6.2,147.6,3.0,3.0,78000.0,6.0,4.3
5310,114.0,15.9,139.5,5.0,5.0,73700.0,8.9,3.75
5311,72.5,3.9,53.8,2.0,2.0,116600.0,6.0,18.8
5313,83.0,4.45,53.6,2.0,2.0,64800.0,6.95,7.050000000000001
5314,51.0,8.2,160.8,1.0,1.0,307400.0,14.0,13.5
5316,53.0,7.15,134.9,5.0,5.0,82600.0,6.0,5.875
5317,24.0,2.55,106.2,1.0,2.0,44600.0,4.7,2.4749999999999996
5320,161.0,46.8,290.7,22.0,22.0,189200.0,14.0,46.8
5322,73.0,11.0,150.7,2.0,2.0,307400.0,14.0,13.5
5323,53.0,5.7,107.5,3.0,2.0,64800.0,6.95,7.050000000000001
5325,66.0,3.0,45.5,2.0,1.0,72900.0,6.5,4.5
5327,58.0,5.5,94.8,4.0,4.0,64000.0,7.5,5.5
