,Diện Tích,Giá,Triệu/m2,Số Phòng Ngủ,Số Nhà Vệ Sinh,Giá Đề Xuất,Giá Quận,Giá Đường
185,200.0,17.0,85.0,4.0,4.0,36500.0,2.6,2.4000000000000004
186,102.0,7.2,70.6,3.0,2.0,132000.0,7.5,7.300000000000001
190,64.0,6.6,103.1,3.0,2.0,76600.0,4.675000000000001,3.63
191,55.0,3.3,60.0,2.0,2.0,141700.0,6.5,4.062
192,132.0,15.5,117.4,4.0,5.0,45400.0,7.5,15.5
193,98.92,12.3,124.3,2.0,2.0,151500.0,8.9,11.0
194,71.0,4.08,57.5,2.0,1.0,135700.0,6.7,4.25
195,50.0,1.38,27.6,2.0,2.0,49800.0,2.6,2.85
196,256.0,27.5,107.4,6.0,5.0,129600.0,6.7,6.4
198,24.0,4.7,195.8,3.0,4.0,299700.0,8.35,5.77
199,41.0,4.28,104.4,2.0,2.0,145800.0,4.7,8.8
207,133.0,23.6,177.4,5.0,5.0,61450.0,7.5,6.7
209,55.0,1.52,27.6,2.0,2.0,49800.0,2.6,2.85
217,63.0,3.9,61.9,2.0,1.0,176500.0,12.0,13.1
224,129.0,17.0,131.8,6.0,7.0,90700.0,6.5,6.5
225,44.0,3.2,72.7,2.0,1.0,135700.0,6.7,4.25
226,106.0,10.0,94.3,3.0,2.0,151500.0,8.9,11.0
232,75.0,5.3999999999999995,72.0,2.0,2.0,52500.0,5.2,4.896000000000001
234,68.0,2.07,30.4,2.0,2.0,145800.0,8.9,5.2
235,88.0,32.0,363.6,2.0,2.0,416000.0,14.0,13.75
237,60.0,7.0,116.7,4.0,3.0,79000.0,6.5,7.0
238,79.0,2.02,25.6,2.0,2.0,74500.0,4.7,3.55
243,70.0,5.8,82.9,2.0,2.0,196900.0,8.19,5.15
246,78.0,1.88,24.1,2.0,2.0,105300.0,6.5,6.3
247,75.0,9.1,121.3,3.0,4.0,45400.0,7.5,15.5
248,70.0,2.35,33.6,3.0,3.0,36500.0,2.6,2.4000000000000004
249,95.0,18.0,189.5,3.0,4.0,61450.0,7.5,6.7
252,93.6,6.55,70.0,1.0,1.0,64800.0,6.95,7.050000000000001
254,75.0,4.3,57.3,2.0,2.0,66200.0,7.5,4.0
255,80.0,2.65,33.1,2.0,2.0,85300.0,8.19,2.8899999999999997
256,57.0,8.5,149.1,4.0,3.0,66400.0,6.0,6.25
257,67.0,3.25,48.5,2.0,2.0,61450.0,7.5,6.7
259,100.0,7.69,76.9,5.0,3.0,76933.33333333333,4.7,4.9
275,23.0,4.15,180.4,3.0,2.0,107700.0,8.9,5.225
276,41.6,4.65,111.8,2.0,2.0,130400.0,4.7,7.35
279,27.0,1.6,59.3,1.0,1.0,129600.0,6.7,6.4
286,100.0,20.5,205.0,5.0,4.0,84200.0,8.9,25.0
288,82.0,5.0,61.0,2.0,2.0,272200.0,7.51,7.75
289,125.0,12.5,100.0,1.0,1.0,179800.0,8.9,9.9
291,73.0,3.85,52.7,2.0,2.0,66200.0,7.5,4.0
