Price,Area,Bedrooms,Toilets,Published At,Loại tin,Status,Developer,Street,District,Suggested Price,Million/m2,District Price,Street Price
12.5,66.0,4,4,2024-10-25,Tin thường,Đã bàn giao,Tổng công ty Địa ốc Sài Gòn Resco,10A,quận 2,70.5,189.39,13.395,12.5
7.1,81.0,3,3,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,11,bình tân,59.3,87.65,5.225,7.1
5.0,280.0,5,6,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,11,nhà bè,32.5322,17.86,5.2,5.0
22.8,120.0,4,5,2024-10-23,Tin thường,Đã bàn giao,Đang cập nhật,11,quận 2,163.0,190.0,13.395,18.0
20.0,141.0,3,3,2024-10-23,Tin thường,Đã bàn giao,Công ty CP bất động sản SơnKim Land,11,quận 2,163.0,141.84,13.395,18.0
5.8,50.0,4,5,2024-10-21,Tin thường,Đã bàn giao,cá nhân/môi giới,11,quận 2,163.0,116.0,13.395,18.0
6.0,74.0,3,3,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,11,quận 2,163.0,81.08,13.395,18.0
18.0,105.7,4,4,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,11,quận 2,163.0,170.29,13.395,18.0
10.9,156.0,4,4,2024-10-23,Tin thường,Đã bàn giao,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,11,quận 9,163.0,69.87,7.5,10.9
18.0,200.0,5,5,2024-10-15,Tin VIP Vàng,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,90.0,6.6,6.375
8.3,87.0,2,2,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,95.4,6.6,6.375
5.75,70.3,2,2,2024-10-25,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,81.79,6.6,6.375
3.9,67.0,1,1,2024-10-07,Tin thường,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,58.21,6.6,6.375
3.9,60.0,3,1,2024-10-21,Tin thường,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,65.0,6.6,6.375
8.9,135.0,4,3,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,65.93,6.6,6.375
7.0,88.6,3,2,2024-10-24,Tin thường,Đang cập nhật tiến độ,Đang cập nhật,11,thủ đức,163.0,79.01,6.6,6.375
4.59,63.0,2,1,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,72.86,6.6,6.375
3.95,57.4,3,2,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,68.82,6.6,6.375
7.5,63.8,2,1,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,11,thủ đức,163.0,117.55,6.6,6.375
2.3,122.0,4,4,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,111,củ chi,8.9908,18.85,1.15,2.3
19.5,122.5,4,5,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,12,bình chánh,81.5,159.18,4.5,19.5
6.2,50.0,5,4,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,12,bình tân,59.6,124.0,5.225,6.2
26.400000000000002,165.0,5,5,2024-10-26,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,12,quận 2,163.0,160.0,13.395,22.05
15.0,100.0,3,3,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,12,quận 2,163.0,150.0,13.395,22.05
42.0,300.0,7,7,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,12,quận 2,163.0,140.0,13.395,22.05
17.7,135.0,3,3,2024-10-22,Tin thường,Đã bàn giao,cá nhân/môi giới,12,quận 2,163.0,131.11,13.395,22.05
9.1,88.0,4,5,2024-10-18,Tin thường,Đã bàn giao,cá nhân/môi giới,12,quận 9,163.0,103.41,7.5,9.0
9.0,87.0,4,5,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,12,quận 9,163.0,103.45,7.5,9.0
5.8,65.0,3,4,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,12,quận 9,163.0,89.23,7.5,9.0
6.2,68.0,4,6,2024-10-26,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,12,thủ đức,163.0,91.18,6.6,4.4
1.7,65.0,2,1,2024-10-24,Tin VIP Bạc,Đã bàn giao,Công ty CP Chương Dương,12,thủ đức,163.0,26.15,6.6,4.4
4.4,69.0,3,4,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,12,thủ đức,163.0,63.77,6.6,4.4
3.95,80.0,2,2,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,13,quận 12,52.3,49.38,4.75,3.95
11.5,118.0,4,4,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,13,quận 2,82.6,97.46,13.395,11.5
18.8,105.0,4,3,2024-10-22,Tin VIP Vàng,Đang mở bán,Công ty CP Đầu tư Địa ốc Vạn Phúc - Dai Phuc Group,13,thủ đức,82.6,179.05,6.6,18.8
4.45,130.0,2,2,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,138,tân phú,74.3545,34.23,7.4,4.45
10.0,100.0,4,4,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,13A,bình tân,51.5,100.0,5.225,10.0
3.45,100.0,2,2,2024-10-28,Tin thường,Đã bàn giao,Công ty Cổ phần Him Lam,14,bình chánh,76.5,34.5,4.5,3.45
3.85,32.0,2,2,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,14,gò vấp,70.5828,120.31,6.5,3.85
60.0,350.0,5,7,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,14,quận 2,77.8,171.43,13.395,60.0
39.0,250.0,5,6,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,14,quận 7,61.3,156.0,9.0,39.0
39.0,250.0,4,5,2024-10-23,Tin thường,Đã bàn giao,Công ty CP Phát Triển Nam Sài Gòn,14,quận 7,61.3,156.0,9.0,39.0
22.0,100.0,4,4,2024-10-18,Tin thường,Đã bàn giao,Công ty Cổ phần Him Lam,14,quận 7,61.3,220.0,9.0,39.0
6.6,86.0,4,4,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,14,thủ đức,77.8,76.74,6.6,6.6
10.9,100.0,4,5,2024-10-22,Tin thường,Đã bàn giao,cá nhân/môi giới,14A,quận 7,80.6284,109.0,9.0,14.7
18.5,133.0,2,2,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,14A,quận 7,80.6284,139.1,9.0,14.7
19.0,133.0,1,1,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,14A,quận 7,80.6284,142.86,9.0,14.7
8.3,83.0,6,6,2024-10-18,Tin thường,Đã bàn giao,cá nhân/môi giới,14A,quận 7,80.6284,100.0,9.0,14.7
5.1,100.0,4,4,2024-10-24,Tin thường,Đã bàn giao,Công ty CP Đầu tư Xây dựng Bình Chánh (BCCI),15,bình chánh,68.9,51.0,4.5,5.1
1.35,32.0,2,2,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,15,quận 12,86.1,42.19,4.75,1.35
42.0,200.0,3,3,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,15,quận 7,97.2,210.0,9.0,14.2
14.2,68.0,2,2,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,15,quận 7,97.2,208.82,9.0,14.2
9.5,78.0,2,2,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,15,quận 7,97.2,121.79,9.0,14.2
18.0,71.9,6,7,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,15 Phường Tân Quy,quận 7,80.6284,250.35,9.0,18.0
3.895,102.5,4,4,2024-10-26,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,15B,nhà bè,32.5322,38.0,5.2,3.895
1.9,85.0,2,3,2024-10-25,Tin VIP Bạc,Đã bàn giao,Công ty CP Đức Khải,15B,quận 7,56.7,22.35,9.0,2.11
1.92,85.0,2,3,2024-10-24,Tin VIP Bạc,Đã bàn giao,Công ty CP Đức Khải,15B,quận 7,56.7,22.59,9.0,2.11
2.85,92.0,3,2,2024-10-24,Tin VIP Bạc,Đã bàn giao,Công ty CP Đức Khải,15B,quận 7,56.7,30.98,9.0,2.11
2.3,97.0,3,2,2024-10-23,Tin thường,Đã bàn giao,Công ty CP Đức Khải,15B,quận 7,56.7,23.71,9.0,2.11
13.5,84.8,4,4,2024-10-19,Tin thường,Đã bàn giao,cá nhân/môi giới,15B,quận 7,56.7,159.2,9.0,2.11
1.75,67.0,2,2,2024-10-24,Tin thường,Đã bàn giao,Công ty CP Đức Khải,15B,quận 7,56.7,26.12,9.0,2.11
16.0,103.5,4,4,2024-10-23,Tin thường,Đã bàn giao,Tổng công ty Địa ốc Sài Gòn Resco,16,quận 2,73.7,154.59,13.395,15.5
15.0,105.0,4,4,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,16,quận 2,73.7,142.86,13.395,15.5
11.8,135.0,3,2,2024-10-22,Tin thường,"Tháng 10/2022: tòa M5, M6, M7 đã có sổ hồng",Công ty TNHH Phát Triển Phú Mỹ Hưng,16,tân phú,64.8,87.41,7.4,8.8
5.8,81.0,2,2,2024-10-24,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,16,tân phú,64.8,71.6,7.4,8.8
7.5,98.0,12,12,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,160,quận 9,46.2,76.53,7.5,4.5
4.5,90.0,2,2,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,160,quận 9,46.2,50.0,7.5,4.5
4.45,90.0,2,1,2024-10-29,Tin thường,Đã bàn giao,cá nhân/môi giới,160,quận 9,46.2,49.44,7.5,4.5
3.95,68.0,2,2,2024-10-19,Tin thường,Đã bàn giao,cá nhân/môi giới,16B,bình tân,45.7815,58.09,5.225,3.95
15.5,200.0,4,3,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,17,bình chánh,68.1,77.5,4.5,14.0
12.5,100.0,4,3,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,17,bình chánh,68.1,125.0,4.5,14.0
2.55,73.0,2,1,2024-10-20,Tin VIP Bạc,Bàn giao năm 2016,Công ty CP Hoàng Anh Gia Lai,17,quận 7,85.06666666666668,34.93,9.0,3.303
4.056,156.0,4,4,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,17,quận 7,85.06666666666668,26.0,9.0,3.303
39.0,126.0,4,3,2024-10-24,Tin VIP Bạc,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,309.52,7.4,38.5
9.1,125.0,3,2,2024-10-19,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,72.8,7.4,38.5
38.5,126.0,4,3,2024-10-23,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,305.56,7.4,38.5
34.5,126.0,4,4,2024-10-23,Tin thường,Đang cập nhật tiến độ,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,273.81,7.4,38.5
8.0,110.0,3,2,2024-10-23,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,72.73,7.4,38.5
8.0,110.0,2,2,2024-10-23,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,72.73,7.4,38.5
40.0,126.0,5,4,2024-10-18,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,317.46,7.4,38.5
40.0,126.0,5,4,2024-10-23,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,317.46,7.4,38.5
80.0,273.6,4,4,2024-10-24,Tin thường,Đang cập nhật tiến độ,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,292.4,7.4,38.5
79.0,275.2,4,4,2024-10-24,Tin thường,Đang cập nhật tiến độ,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,287.06,7.4,38.5
30.0,126.0,3,4,2024-10-24,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,17,tân phú,74.3545,238.1,7.4,38.5
1.95,56.0,4,3,2024-10-21,Tin thường,Đã bàn giao,cá nhân/môi giới,18,bình chánh,84.2,34.82,4.5,2.5
2.5,70.4,2,2,2024-10-28,Tin thường,Đang cập nhật tiến độ,Công ty CP Xây dựng Số 5,18,bình chánh,84.2,35.51,4.5,2.5
2.85,69.0,4,5,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,18,bình chánh,84.2,41.3,4.5,2.5
