Price,Address,Area,Bedrooms,Toilets,Published At,Hướng nhà,Hướng ban công,Loại tin,Status,Number of Apartments,Developer,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường
"15,2 tỷ","Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",40.0,6,4,17/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",40.0,15.2,38.0,2024-10-17,6.0,4.0,quận 8,130400.0,dương bá trạc
"5,6 tỷ","Screc Tower, Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh",90.0,3,2,23/10/2024,,,Tin thường,đã bàn giao,60-106 m²,Công ty CP Đầu tư Xây dựng và Kinh doanh nhà Sài Gòn,"(75.533, 92.667]",90.0,5.6,6.2,2024-10-23,3.0,2.0,quận 3,164900.0,trường sa
7 tỷ,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",87.0,2,2,23/10/2024,,,Tin VIP Kim Cương,Đã bàn giao,2.178,Tập đoàn Hà Đô,"(75.533, 92.667]",87.0,7.0,8.0,2024-10-23,2.0,2.0,quận 1,267213.53383458644,
"12,35 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Hồ Chí Minh",60.0,4,31226303317535544,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.0,12.35,20.6,2024-10-22,4.0,3.1226303317535544e+16,quận 5,283000.0,nguyễn trãi
"1,35 tỷ","Dự án Dream Home Riverside, Đường Nguyễn Văn Linh, Phường 7, Quận 8, Hồ Chí Minh",57.0,2,2,17/10/2024,,,Tin VIP Bạc,Đang mở bán,55-75 m²,Công ty TNHH SX TM Lý Khương,"(41.267, 58.4]",57.0,1.35,2.4,2024-10-17,2.0,2.0,quận 8,52700.0,nguyễn văn linh
"7,8 tỷ","Đường Phạm Văn Bạch, Phường 15, Tân Bình, Hồ Chí Minh",100.0,3,3,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",100.0,7.8,7.8,2024-10-22,3.0,3.0,tân bình,64200.0,phạm văn bạch
"5,95 tỷ","Dự án ICON 56, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh",87.0,3,2,15/10/2024,,,Tin thường,Đã bàn giao,47-112 m²,Novaland Group,"(75.533, 92.667]",87.0,5.95,6.8,2024-10-15,3.0,2.0,quận 4,164700.0,bến vân đồn
16 tỷ,"Phường Phước Long B, Quận 9, Hồ Chí Minh",156.0,8,9,17/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",156.0,16.0,10.3,2024-10-17,8.0,9.0,quận 9,59327.65113974232,
"8,6 tỷ","Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",34.0,3,4,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",34.0,8.6,25.3,2024-10-22,3.0,4.0,quận 3,247100.0,lê văn sỹ
"8,7 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",80.0,4,5,04/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,8.7,10.9,2024-10-04,4.0,5.0,quận 7,93150.0,huỳnh tấn phát
23 tỷ,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh",146.0,6,7,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",146.0,23.0,15.8,2024-10-22,6.0,7.0,bình thạnh,73700.0,nguyễn thượng hiền
"7,3 tỷ","Dự án Diamond Island, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",90.0,2,2,14/10/2024,,,Tin VIP Kim Cương,Đã bàn giao,1.275,Kusto Home,"(75.533, 92.667]",90.0,7.3,8.1,2024-10-14,2.0,2.0,quận 2,59327.65113974232,
"5,8 tỷ","Dự án Vinhomes Central Park, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",86.0,2,2,23/10/2024,Nam,Đông - Nam,Tin VIP Kim Cương,Đã bàn giao,13.000,Tập đoàn Vingroup,"(75.533, 92.667]",86.0,5.8,6.7,2024-10-23,2.0,2.0,bình thạnh,151500.0,nguyễn hữu cảnh
"4,85 tỷ","Đường Số 9, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",52.8,30106870229007634,2921553090332805,20/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",52.8,4.85,9.2,2024-10-20,3.010687022900763e+16,2921553090332805.0,thủ đức,40500.0,đường số 9
"30,9 tỷ","Dự án Lucasta Villa, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",230.3,5,5,10/10/2024,Bắc,Bắc,Tin thường,Đã bàn giao,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"(229.733, 246.867]",230.3,30.9,13.4,2024-10-10,5.0,5.0,quận 9,59327.65113974232,
"7,6 tỷ","Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",71.1,4,5,18/10/2024,Đông - Bắc,Đông - Nam,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",71.1,7.6,10.7,2024-10-18,4.0,5.0,nhà bè,40100.0,đào tông nguyên
"8,5 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",82.2,4,6,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",82.2,8.5,10.3,2024-10-23,4.0,6.0,nhà bè,57000.0,huỳnh tấn phát
"12,5 tỷ","Đường 359, Phường Phước Long B, Quận 9, Hồ Chí Minh",131.3,39029126213592233,35433333333333334,21/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",131.3,12.5,9.5,2024-10-21,3.902912621359223e+16,3.5433333333333336e+16,quận 9,59327.65113974232,
11 tỷ,"Dự án La Casa, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",80.0,4,6,23/10/2024,,,Tin thường,Bàn giao năm 2013,1.800,Công ty CP Vạn Phát Hưng,"(75.533, 92.667]",80.0,11.0,13.8,2024-10-23,4.0,6.0,quận 7,40233.333333333336,đào trí
"15,6 tỷ","Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",92.5,6,4,19/10/2024,Đông - Nam,Đông - Nam,Tin thường,Nhiều căn đã bàn giao và có sổ,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"(75.533, 92.667]",92.5,15.6,16.9,2024-10-19,6.0,4.0,quận 9,61450.0,võ chí công
"10,9 tỷ","Đường Hồng Bàng, Phường 1, Quận 11, Hồ Chí Minh",130.0,3,1,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",130.0,10.9,8.4,2024-10-23,3.0,1.0,quận 11,141700.0,hồng bàng
"4,2 tỷ","Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",66.0,2,2,22/10/2024,,,Tin VIP Kim Cương,"30/8/2022: động thổ xây 1300 căn NOXH, phân khu MR1",44-95 m²,Công ty CP Đầu tư và Xây dựng Xuân Mai,"(58.4, 75.533]",66.0,4.2,6.4,2024-10-22,2.0,2.0,quận 7,129600.0,đường n
"2,65 tỷ","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",68.0,2,2,22/10/2024,,,Tin VIP Kim Cương,Đã bàn giao căn hộ,53-86 m²,Công ty CP Tập đoàn Hưng Thịnh,"(58.4, 75.533]",68.0,2.65,3.9,2024-10-22,2.0,2.0,quận 7,40233.333333333336,đào trí
24 tỷ,"Đường Hồ Văn Huê, Phường 9, Phú Nhuận, Hồ Chí Minh",80.0,332599837000815,32425531914893617,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,24.0,30.0,2024-10-22,332599837000815.0,3.2425531914893616e+16,phú nhuận,158200.0,hồ văn huê
"6,49 tỷ","Đường Lê Đức Thọ, Phường 16, Gò Vấp, Hồ Chí Minh",52.0,3,3,14/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",52.0,6.49,12.5,2024-10-14,3.0,3.0,gò vấp,101300.0,lê đức thọ
"1,99 tỷ","Tara Residence, Tạ Quang Bửu, 6, Quận 8, Hồ Chí Minh",47.0,1,1,22/10/2024,,,Tin thường,Bàn giao năm 2019,50-100 m²,Đang cập nhật,"(41.267, 58.4]",47.0,1.99,4.2,2024-10-22,1.0,1.0,quận 8,83983.33333333333,tạ quang bửu
20 tỷ,"Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",117.0,5,5,18/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",117.0,20.0,17.1,2024-10-18,5.0,5.0,quận 1,137500.0,đề thám
"2,15 tỷ","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",53.0,1,1,17/10/2024,,,Tin VIP Kim Cương,Đã bàn giao căn hộ,53-86 m²,Công ty CP Tập đoàn Hưng Thịnh,"(41.267, 58.4]",53.0,2.15,4.1,2024-10-17,1.0,1.0,quận 7,40233.333333333336,đào trí
"15,9 tỷ","Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh",90.0,3,4,22/10/2024,Nam,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",90.0,15.9,17.7,2024-10-22,3.0,4.0,quận 8,72900.0,an dương vương
"1,9 tỷ","Đường Hoàng Kim Giao, Phường 5, Quận 8, Hồ Chí Minh",64.0,1,1,15/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",64.0,1.9,3.0,2024-10-15,1.0,1.0,quận 8,59100.0,hoàng kim giao
"3,1 tỷ","Dự án Lavita Charm, Đường 1, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",68.0,2,2,18/10/2024,,,Tin thường,Đã bàn giao,51-95 m²,Công ty CP Tập đoàn Hưng Thịnh,"(58.4, 75.533]",68.0,3.1,4.6,2024-10-18,2.0,2.0,thủ đức,59327.65113974232,
"2,7 tỷ","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",68.0,2,2,20/10/2024,,,Tin VIP Kim Cương,Đã bàn giao căn hộ,53-86 m²,Công ty CP Tập đoàn Hưng Thịnh,"(58.4, 75.533]",68.0,2.7,4.0,2024-10-20,2.0,2.0,quận 7,40233.333333333336,đào trí
"8,9 tỷ","Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh",48.9,3,3,22/10/2024,Tây - Bắc,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",48.9,8.9,18.2,2024-10-22,3.0,3.0,quận 10,174500.0,tô hiến thành
14 tỷ,"Nguyễn Sơn, Phú Thạnh, Tân Phú, Hồ Chí Minh",74.0,6,6,21/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",74.0,14.0,18.9,2024-10-21,6.0,6.0,tân phú,119100.0,nguyễn sơn
"6,2 tỷ","Phường 1, Phú Nhuận, Hồ Chí Minh",38.0,3,4,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",38.0,6.2,16.3,2024-10-22,3.0,4.0,phú nhuận,124477.19298245614,
"2,65 tỷ","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",68.0,2,2,22/10/2024,,,Tin VIP Kim Cương,Đã bàn giao căn hộ,53-86 m²,Công ty CP Tập đoàn Hưng Thịnh,"(58.4, 75.533]",68.0,2.65,3.9,2024-10-22,2.0,2.0,quận 7,40233.333333333336,đào trí
"1,1 tỷ","Đường Nguyễn Thị Ni, Xã Phước Hiệp, Củ Chi, Hồ Chí Minh.",205.0,4485436893203883,4351063829787234,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(195.467, 212.6]",205.0,1.1,0.5,2024-10-23,4485436893203883.0,4351063829787234.0,củ chi,8990.760869565218,
"2,9 tỷ","Dự án Lavita Charm, Đường 1, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",68.0,2,2,19/10/2024,,,Tin thường,Đã bàn giao,51-95 m²,Công ty CP Tập đoàn Hưng Thịnh,"(58.4, 75.533]",68.0,2.9,4.3,2024-10-19,2.0,2.0,thủ đức,59327.65113974232,
"7,8 tỷ","Đường Trần Bình Trọng, Phường 5, Bình Thạnh, Hồ Chí Minh",60.6,4,5,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.6,7.8,12.9,2024-10-22,4.0,5.0,bình thạnh,65600.0,trần bình trọng
"4,9 tỷ","Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",52.0,1,1,20/10/2024,Tây - Bắc,Đông - Nam,Tin VIP Kim Cương,Đang mở bán,2,Công ty CP Ðịa ốc Thảo Ðiền,"(41.267, 58.4]",52.0,4.9,9.4,2024-10-20,1.0,1.0,quận 2,59327.65113974232,
19 tỷ,"Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",100.0,5,6,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",100.0,19.0,19.0,2024-10-22,5.0,6.0,bình chánh,25803.571428571428,
13 tỷ,"Đường Số 17, Phường 10, Quận 6, Hồ Chí Minh",72.0,3189538807649044,31226303317535544,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",72.0,13.0,18.1,2024-10-23,3189538807649044.0,3.1226303317535544e+16,quận 6,75800.0,đường số 17
"14,1 tỷ","Dự án The Opera Residence, Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",77.0,2,2,19/10/2024,Tây - Nam,Đông - Bắc,Tin VIP Kim Cương,Đang mở bán,646,Đang cập nhật,"(75.533, 92.667]",77.0,14.1,18.3,2024-10-19,2.0,2.0,quận 2,59327.65113974232,
"4,8 tỷ","Đường Phú Định, Phường 16, Quận 8, Hồ Chí Minh",118.0,2,2,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",118.0,4.8,4.1,2024-10-22,2.0,2.0,quận 8,59900.0,phú định
"10,9 tỷ","Dự án Lavila Kiến Á - Nhà Bè, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",105.6,4,5,06/10/2024,Đông - Nam,,Tin thường,Đã bàn giao,Công ty CP Kiến Á,Công ty CP Kiến Á,"(92.667, 109.8]",105.6,10.9,10.3,2024-10-06,4.0,5.0,nhà bè,52500.0,nguyễn hữu thọ
"14,2 tỷ","Phường 12, Quận 10, Hồ Chí Minh",80.0,332599837000815,32425531914893617,23/10/2024,Đông,Đông,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,14.2,17.8,2024-10-23,332599837000815.0,3.2425531914893616e+16,quận 1,267213.53383458644,
"6,3 tỷ","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",85.0,2,2,17/10/2024,,,Tin VIP Kim Cương,Đã bàn giao,13.000,Tập đoàn Vingroup,"(75.533, 92.667]",85.0,6.3,7.4,2024-10-17,2.0,2.0,bình thạnh,179800.0,điện biên phủ
"8,2 tỷ","Đường Cư Xá Phú Lâm B, Phường 13, Quận 6, Hồ Chí Minh",72.0,4,4,23/10/2024,Tây - Bắc,Tây - Bắc,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",72.0,8.2,11.4,2024-10-23,4.0,4.0,quận 6,92683.33333333333,
"2,05 tỷ","Dự án Centana Thủ Thiêm, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",44.0,1,1,17/10/2024,,,Tin VIP Bạc,Bàn giao tháng 12/2018,618,Công ty TNHH Xây dựng và Kinh doanh Nhà Điền Phúc Thành,"(41.267, 58.4]",44.0,2.05,4.7,2024-10-17,1.0,1.0,quận 2,132000.0,mai chí thọ
"6,4 tỷ","Phường Tam Bình, Thủ Đức, Hồ Chí Minh",55.0,30106870229007634,2921553090332805,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",55.0,6.4,11.6,2024-10-23,3.010687022900763e+16,2921553090332805.0,thủ đức,48600.0,tam bình
"4,48 tỷ","Dự án Diamond Brilliant, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",86.0,2,32425531914893617,13/10/2024,Tây,Nam,Tin VIP Kim Cương,Đã bàn giao,90-160 m²,Công ty Cổ phần Gamuda Land Việt Nam,"(75.533, 92.667]",86.0,4.48,5.2,2024-10-13,2.0,3.2425531914893616e+16,tân phú,72900.0,sơn kỳ
"1,65 tỷ","Chung cư Thanh Nhựt, 3441A, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",67.0,2,2,23/10/2024,Tây - Nam,Đông - Bắc,Tin thường,Đang cập nhật tiến độ,Công ty TNHH Thương mại - Xây dựng – Kinh doanh nhà Thanh Nhựt,Công ty TNHH Thương mại - Xây dựng – Kinh doanh nhà Thanh Nhựt,"(58.4, 75.533]",67.0,1.65,2.5,2024-10-23,2.0,2.0,quận 8,76933.33333333333,phạm thế hiển
14 tỷ,"Đường Nguyễn Sơn, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",74.0,6,6,14/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",74.0,14.0,18.9,2024-10-14,6.0,6.0,tân phú,119100.0,nguyễn sơn
"3,25 tỷ","Đường Thống Nhất, Phường 15, Gò Vấp, Hồ Chí Minh",48.1,30106870229007634,2921553090332805,17/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",48.1,3.25,6.8,2024-10-17,3.010687022900763e+16,2921553090332805.0,gò vấp,80200.0,thống nhất
"2,9 tỷ","Dự án Lavita Charm, Đường 1, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",68.0,2,2,21/10/2024,,,Tin thường,Đã bàn giao,51-95 m²,Công ty CP Tập đoàn Hưng Thịnh,"(58.4, 75.533]",68.0,2.9,4.3,2024-10-21,2.0,2.0,thủ đức,59327.65113974232,
"3,5 tỷ","212 Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",66.0,2,1,09/10/2024,Tây - Bắc,Đông,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",66.0,3.5,5.3,2024-10-09,2.0,1.0,quận 1,409900.0,nguyễn trãi
"11,9 tỷ","Nguyễn Đình Khơi, 4, Tân Bình, Hồ Chí Minh",76.0,3,3,18/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",76.0,11.9,15.7,2024-10-18,3.0,3.0,tân bình,96200.0,nguyễn đình khơi
33 tỷ,"Đường Lương Định Của, Phường An Phú, Quận 2, Hồ Chí Minh",178.0,4894230769230769,4594059405940594,17/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(161.2, 178.333]",178.0,33.0,18.5,2024-10-17,4894230769230769.0,4594059405940594.0,quận 2,120700.0,lương định của
35 tỷ,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",80.0,332599837000815,32425531914893617,21/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,35.0,43.8,2024-10-21,332599837000815.0,3.2425531914893616e+16,quận 3,247100.0,lê văn sỹ
"7,61 tỷ","Dự án Asiana Capella, Đường Trần Văn Kiểu, Phường 10, Quận 6, Hồ Chí Minh",140.0,3,3,17/10/2024,Đông - Bắc,Đông - Nam,Tin VIP Bạc,Đã bàn giao,48-82 m²,Công ty TNHH Gotec Việt Nam,"(126.933, 144.067]",140.0,7.61,5.4,2024-10-17,3.0,3.0,quận 6,92683.33333333333,
"6,3 tỷ","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",85.0,2,2,21/10/2024,Đông,Nam,Tin VIP Kim Cương,Đã bàn giao,13.000,Tập đoàn Vingroup,"(75.533, 92.667]",85.0,6.3,7.4,2024-10-21,2.0,2.0,bình thạnh,179800.0,điện biên phủ
"8,6 tỷ","Đường Lũy Bán Bích, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",80.0,5,4,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,8.6,10.8,2024-10-23,5.0,4.0,tân phú,129600.0,lũy bán bích
"3,5 tỷ","Dự án The Pegasuite, Phố Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh",68.0,2,2,23/10/2024,Nam,Bắc,Tin thường,Bàn giao năm 2019,1.150,Công ty CP Đầu tư và Kinh doanh Bất động sản Phương Việt (PVInvest),"(58.4, 75.533]",68.0,3.5,5.1,2024-10-23,2.0,2.0,quận 8,83983.33333333333,tạ quang bửu
"2,56 tỷ","Dự án The Sun Avenue, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",49.0,30106870229007634,2921553090332805,17/10/2024,,,Tin VIP Bạc,Đã bàn giao,3.000,Novaland Group,"(41.267, 58.4]",49.0,2.56,5.2,2024-10-17,3.010687022900763e+16,2921553090332805.0,quận 2,132000.0,mai chí thọ
"11,5 tỷ","Đường Thăng Long, Phường 4, Tân Bình, Hồ Chí Minh",60.0,5,6,18/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.0,11.5,19.2,2024-10-18,5.0,6.0,tân bình,128300.0,thăng long
900 triệu,"Dự án Diyas Sky, Đường Nguyễn Đức Thuận, Phường 13, Tân Bình, Hồ Chí Minh",33.0,1,1,02/10/2024,,,Tin thường,Đang mở bán,337,C.T Group,"(24.133, 41.267]",33.0,0.9,2.7,2024-10-02,1.0,1.0,tân bình,84400.0,nguyễn đức thuận
165 tỷ,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",225.0,4072727272727272,3963636363636364,17/10/2024,,,Tin VIP Bạc,Đã bàn giao 4 tòa. Đang mở bán 2 tòa,5,Tập đoàn Vingroup,"(212.6, 229.733]",225.0,165.0,73.3,2024-10-17,4072727272727272.0,3963636363636364.0,quận 1,416000.0,tôn đức thắng
"3,2 tỷ","Dự án Lavida Plus, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",73.0,2,2,13/10/2024,,,Tin thường,Đã bàn giao,53-96 m²,Công ty CP Quốc Cường Gia Lai,"(58.4, 75.533]",73.0,3.2,4.4,2024-10-13,2.0,2.0,quận 7,129600.0,đường n
"3,99 tỷ","Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",40.0,2,2,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",40.0,3.99,10.0,2024-10-22,2.0,2.0,bình tân,45781.513083048914,
48 triệu/m²,"The Privia, 158, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh",68.0,2,2,14/10/2024,,Đông - Nam,Tin thường,24/2/2024: Bán hết toàn bộ hàng CĐT,1.046,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"(58.4, 75.533]",68.0,3.2640000000000002,4.8,2024-10-14,2.0,2.0,bình tân,76600.0,an dương vương
"1,9 tỷ","Dự án Lavida Plus, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",37.27,1,1,22/10/2024,,,Tin VIP Kim Cương,Đã bàn giao,53-96 m²,Công ty CP Quốc Cường Gia Lai,"(24.133, 41.267]",37.27,1.9,5.1,2024-10-22,1.0,1.0,quận 7,129600.0,đường n
"8,9 tỷ","Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh",48.8,4,5,17/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",48.8,8.9,18.2,2024-10-17,4.0,5.0,quận 1,115400.0,nguyễn văn nguyễn
"7,3 tỷ","Dự án The Estella, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",104.0,2,2,19/10/2024,,,Tin thường,Đã bàn giao,1.500,Đang cập nhật,"(92.667, 109.8]",104.0,7.3,7.0,2024-10-19,2.0,2.0,quận 2,59327.65113974232,
"6,45 tỷ","Đường 18, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",106.8,3,2,14/10/2024,Đông - Bắc,Đông - Bắc,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",106.8,6.45,6.0,2024-10-14,3.0,2.0,thủ đức,43700.0,linh trung
"14,5 tỷ","Dự án The Opera Residence, Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",80.0,2,2,13/10/2024,,,Tin VIP Kim Cương,Đang mở bán,646,Đang cập nhật,"(75.533, 92.667]",80.0,14.5,18.1,2024-10-13,2.0,2.0,quận 2,59327.65113974232,
"5,2 tỷ","Hưng Phúc Premier, Nguyễn Lương Bằng, Tân Phú, Quận 7, Hồ Chí Minh",69.0,2,2,17/10/2024,Đông - Bắc,Tây - Nam,Tin VIP Bạc,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,Công ty TNHH Phát Triển Phú Mỹ Hưng,"(58.4, 75.533]",69.0,5.2,7.5,2024-10-17,2.0,2.0,quận 7,80628.373015873,
"9,2 tỷ","Đường Đất Thánh, Phường 6, Tân Bình, Hồ Chí Minh",100.0,3671965317919075,3411497730711044,15/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",100.0,9.2,9.2,2024-10-15,3671965317919075.0,3411497730711044.0,tân bình,93300.0,đất thánh
"11,5 tỷ","Phường Phú Mỹ, Quận 7, Hồ Chí Minh",118.0,3,2,17/10/2024,Đông - Nam,Đông - Nam,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",118.0,11.5,9.7,2024-10-17,3.0,2.0,quận 7,80628.373015873,
"21,5 tỷ","Đường Đồng Xoài, Phường 13, Tân Bình, Hồ Chí Minh",120.0,3909282700421941,35436241610738257,21/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",120.0,21.5,17.9,2024-10-21,3909282700421941.0,3.5436241610738256e+16,tân bình,110200.0,đồng xoài
"11,7 tỷ","Đường Nguyễn Đình Khơi, Phường 4, Tân Bình, Hồ Chí Minh",81.0,332599837000815,32425531914893617,19/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",81.0,11.7,14.4,2024-10-19,332599837000815.0,3.2425531914893616e+16,tân bình,96200.0,nguyễn đình khơi
