Price,Address,Area,Bedrooms,Toilets,Published At,Hướng nhà,Hướng ban công,Loại tin,Status,Number of Apartments,Developer,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường
18 tỷ,"Đường Huỳnh Văn Bánh, Phường 14, Phú Nhuận, Hồ Chí Minh",74.0,4,3,24/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",74.0,18.0,24.3,2024-10-24,4.0,3.0,phú nhuận,173300.0,huỳnh văn bánh
17 tỷ,"Đường Tú Xương, Phường Hiệp Phú, Thủ Đức, Hồ Chí Minh",123.0,5,6,25/10/2024,Nam,Nam,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",123.0,17.0,13.8,2024-10-25,5.0,6.0,thủ đức,53500.0,tú xương
25 triệu/m²,"Đường Tam Thôn Hiệp, Xã Tam Thôn Hiệp, Cần Giờ, Hồ Chí Minh",106.0,3671965317919075,3411497730711044,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",106.0,2.6500000000000004,2.5,2024-10-27,3671965317919075.0,3411497730711044.0,cần giờ,4700.0,tam thôn hiệp
20 tỷ,"Đường Lê Quang Định, Phường 14, Bình Thạnh, Hồ Chí Minh",110.0,5,5,24/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",110.0,20.0,18.2,2024-10-24,5.0,5.0,bình thạnh,145000.0,lê quang định
"8,15 tỷ","Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",44.0,3,3,17/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",44.0,8.15,18.5,2024-10-17,3.0,3.0,bình thạnh,97200.0,hoàng hoa thám
"12,5 tỷ","Đường Hồ Văn Huê, Phường 9, Phú Nhuận, Hồ Chí Minh",60.0,3,3,25/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.0,12.5,20.8,2024-10-25,3.0,3.0,phú nhuận,158200.0,hồ văn huê
"1,96 tỷ","Xã Tam Thôn Hiệp, Cần Giờ, Hồ Chí Minh",100.8,3671965317919075,3411497730711044,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",100.8,1.96,1.9,2024-10-27,3671965317919075.0,3411497730711044.0,cần giờ,4700.0,tam thôn hiệp
"7,5 tỷ","Đường Thích Quảng Đức, Phường 5, Phú Nhuận, Hồ Chí Minh",60.2,3,4,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.2,7.5,12.5,2024-10-27,3.0,4.0,phú nhuận,98100.0,thích quảng đức
"3,45 tỷ","391, Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",27.0,2,2,24/10/2024,Đông,Đông,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",27.0,3.45,12.8,2024-10-24,2.0,2.0,quận 7,93150.0,huỳnh tấn phát
"15,5 tỷ","Thạnh Mỹ Lợi, Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",110.0,3909282700421941,35436241610738257,27/10/2024,Bắc,Bắc,Tin thường,Đã bàn giao,Công ty Quản lý và Phát triển Nhà Quận 2,Công ty Quản lý và Phát triển Nhà Quận 2,"(109.8, 126.933]",110.0,15.5,14.1,2024-10-27,3909282700421941.0,3.5436241610738256e+16,quận 2,66200.0,đồng văn cống
"5,2 tỷ","Đường 20, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",70.0,3,2,19/10/2024,Tây,Tây,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",70.0,5.2,7.4,2024-10-19,3.0,2.0,thủ đức,40500.0,linh đông
"9,6 tỷ","Dự án Mega Ruby, Đường D3, Phường Phú Hữu, Quận 9, Hồ Chí Minh",82.5,3,3,24/10/2024,Tây,Tây,Tin VIP Bạc,Đang cập nhật tiến độ,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"(75.533, 92.667]",82.5,9.6,11.6,2024-10-24,3.0,3.0,quận 9,59327.65113974232,
31 tỷ,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",109.0,15,16,20/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",109.0,31.0,28.4,2024-10-20,15.0,16.0,quận 1,409900.0,nguyễn trãi
"12,5 tỷ","Đường Huỳnh Văn Bánh, Phường 14, Phú Nhuận, Hồ Chí Minh",60.0,3,2,25/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.0,12.5,20.8,2024-10-25,3.0,2.0,phú nhuận,173300.0,huỳnh văn bánh
20 tỷ,"Đường Nguyễn Thiện Thuật, Phường 14, Bình Thạnh, Hồ Chí Minh",120.0,6,6,24/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",120.0,20.0,16.7,2024-10-24,6.0,6.0,bình thạnh,102900.0,nguyễn thiện thuật
1 tỷ,"Xã Lý Nhơn, Cần Giờ, Hồ Chí Minh",100.0,3671965317919075,3411497730711044,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",100.0,1.0,1.0,2024-10-27,3671965317919075.0,3411497730711044.0,cần giờ,4700.0,lý nhơn
59 tỷ,"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",128.0,6,6,20/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",128.0,59.0,46.1,2024-10-20,6.0,6.0,quận 1,278700.0,phạm ngũ lão
13 tỷ,"Đường Huỳnh Văn Bánh, Phường 14, Phú Nhuận, Hồ Chí Minh",62.0,4,3,25/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",62.0,13.0,21.0,2024-10-25,4.0,3.0,phú nhuận,173300.0,huỳnh văn bánh
"1,7 tỷ","Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh",36.0,2,2,24/10/2024,Đông,Đông,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",36.0,1.7,4.7,2024-10-24,2.0,2.0,hóc môn,20194.915254237287,
55 triệu/m²,"Dự án Bách Khoa, Đường Nguyễn Duy Trinh, Phường Phú Hữu, Quận 9, Hồ Chí Minh",182.0,4551020408163265,45,24/10/2024,Bắc,,Tin VIP Bạc,Đã bàn giao,Công ty CP Đầu tư và Dịch vụ Tp.HCM - Invesco,Công ty CP Đầu tư và Dịch vụ Tp.HCM - Invesco,"(178.333, 195.467]",182.0,10.01,5.5,2024-10-24,4551020408163265.0,45.0,quận 9,66200.0,nguyễn duy trinh
"1,85 tỷ","TĐV Tam Phú, Đường Cây Keo, Phường Tam Phú, Thủ Đức, Hồ Chí Minh",30.0,1,1,19/10/2024,Tây - Bắc,Tây - Bắc,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",30.0,1.85,6.2,2024-10-19,1.0,1.0,thủ đức,48600.0,cây keo
"2,7 tỷ","Đường Rừng Sác, Xã Bình Khánh, Cần Giờ, Hồ Chí Minh",156.0,4181347150259067,3878306878306878,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",156.0,2.7,1.7,2024-10-27,4181347150259067.0,3878306878306878.0,cần giờ,15440.0,rừng sác
"15,5 tỷ","Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",180.0,4551020408163265,45,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(178.333, 195.467]",180.0,15.5,8.6,2024-10-26,4551020408163265.0,45.0,gò vấp,97500.0,nguyễn văn lượng
86 tỷ,"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh",203.72,4,5,24/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(195.467, 212.6]",203.72,86.0,42.2,2024-10-24,4.0,5.0,quận 1,225500.0,nguyễn văn thủ
