Title,Price,Address,Price per m2,Area,Bedrooms,Toilets,Published At,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Project Title,Status,Number of Apartments,Number of Buildings,Developer,Project Address
,"9,9 tỷ","Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",,106 m²,7 phòng,8 phòng,27/10/2024,106 m²,"9,9 tỷ",,,27/10/2024,06/11/2024,Tin thường,40942023,,,,,,"Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
,"23,5 tỷ","Đường Trần Quốc Thảo, Phường 7, Quận 3, Hồ Chí Minh",,80 m²,5 phòng,5 phòng,26/10/2024,80 m²,"23,5 tỷ",,,26/10/2024,05/11/2024,Tin thường,41180562,,,,,,"Đường Trần Quốc Thảo, Phường 7, Quận 3, Hồ Chí Minh"
,Thỏa thuận,"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",,"85,5 m²",4 phòng,4 phòng,22/10/2024,"85,5 m²",Thỏa thuận,,,22/10/2024,01/11/2024,Tin thường,41285544,,,,,,"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
Nine South Estates,15 tỷ,"Dự án Nine South Estates, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",,140 m²,4 phòng,5 phòng,19/10/2024,140 m²,15 tỷ,,,19/10/2024,03/11/2024,Tin VIP Bạc,37340255,Nine South Estates,Đã bàn giao,122-300 m²,Tập đoàn VinaCapital,Tập đoàn VinaCapital,"Dự án Nine South Estates, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
,"16,5 tỷ","Đường Nguyễn Hồng Đào, Phường 14, Tân Bình, Hồ Chí Minh",,99 m²,5 phòng,6 phòng,27/10/2024,99 m²,"16,5 tỷ",,,27/10/2024,06/11/2024,Tin thường,41225131,,,,,,"Đường Nguyễn Hồng Đào, Phường 14, Tân Bình, Hồ Chí Minh"
Khu đô thị Vạn Phúc City,"26,5 tỷ","Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",,133 m²,,,20/10/2024,133 m²,"26,5 tỷ",,,20/10/2024,27/10/2024,Tin VIP Bạc,41195077,Khu đô thị Vạn Phúc City,Đang mở bán,Công ty CP Đầu tư Địa ốc Vạn Phúc - Dai Phuc Group,,Công ty CP Đầu tư Địa ốc Vạn Phúc - Dai Phuc Group,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
,"5,5 tỷ","Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",,64 m²,5 phòng,5 phòng,27/10/2024,64 m²,"5,5 tỷ",Bắc,Bắc,27/10/2024,06/11/2024,Tin thường,39741069,,,,,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
,"6,49 tỷ","Đường Tô Hiệu, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",,50 m²,4 phòng,4 phòng,18/10/2024,50 m²,"6,49 tỷ",,,18/10/2024,28/10/2024,Tin thường,41254989,,,,,,"Đường Tô Hiệu, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh"
,"27,9 tỷ","Đường Vườn Lài, Phường Tân Thành, Tân Phú, Hồ Chí Minh",,"132,3 m²",,,21/10/2024,"132,3 m²","27,9 tỷ",,,21/10/2024,31/10/2024,Tin thường,40876060,,,,,,"Đường Vườn Lài, Phường Tân Thành, Tân Phú, Hồ Chí Minh"
,"5,9 tỷ","Đường Thạnh Lộc 43, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",,"51,6 m²",4 phòng,6 phòng,22/10/2024,"51,6 m²","5,9 tỷ",Tây - Nam,,22/10/2024,01/11/2024,Tin thường,40916887,,,,,,"Đường Thạnh Lộc 43, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
,"3,2 tỷ","Hẻm 55, Đường Tây Lân, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",,52 m²,,,27/10/2024,52 m²,"3,2 tỷ",,,27/10/2024,06/11/2024,Tin thường,39727960,,,,,,"Hẻm 55, Đường Tây Lân, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
,"5,9 tỷ","Đường Thạnh Lộc 43, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",,"51,6 m²",4 phòng,6 phòng,22/10/2024,"51,6 m²","5,9 tỷ",Tây - Nam,,22/10/2024,01/11/2024,Tin thường,40916887,,,,,,"Đường Thạnh Lộc 43, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Lumiere Riverside,"6,55 tỷ","Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",,50 m²,1 phòng,1 phòng,24/10/2024,50 m²,"6,55 tỷ",,Đông - Bắc,24/10/2024,23/11/2024,Tin thường,37657333,Lumiere Riverside,Đang mở bán,2,Công ty CP Ðịa ốc Thảo Ðiền,Công ty CP Ðịa ốc Thảo Ðiền,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
HQC Plaza,900 triệu,"Dự án HQC Plaza, Đường Nguyễn Văn Linh, Xã An Phú Tây, Bình Chánh, Hồ Chí Minh",,55 m²,2 phòng,2 phòng,24/10/2024,55 m²,900 triệu,,,24/10/2024,23/11/2024,Tin thường,32382157,HQC Plaza,đã bàn giao,54-69 m²,4,Công ty CP Tư vấn -Thương mại - Dịch vụ Địa ốc Hoàng Quân,"Dự án HQC Plaza, Đường Nguyễn Văn Linh, Xã An Phú Tây, Bình Chánh, Hồ Chí Minh"
Lumiere Riverside,"6,55 tỷ","Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",,50 m²,1 phòng,1 phòng,24/10/2024,50 m²,"6,55 tỷ",,Đông - Bắc,24/10/2024,23/11/2024,Tin thường,37657333,Lumiere Riverside,Đang mở bán,2,Công ty CP Ðịa ốc Thảo Ðiền,Công ty CP Ðịa ốc Thảo Ðiền,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
,7 tỷ,"Đường Hoàng Thiều Hoa, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",,70 m²,3 phòng,3 phòng,27/10/2024,70 m²,7 tỷ,,,27/10/2024,06/11/2024,Tin thường,41334713,,,,,,"Đường Hoàng Thiều Hoa, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh"
,"4,5 tỷ","Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",,42 m²,4 phòng,3 phòng,17/10/2024,42 m²,"4,5 tỷ",Đông,,17/10/2024,01/11/2024,Tin thường,41244705,,,,,,"Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh"
,"6,68 tỷ","Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh",,61 m²,4 phòng,3 phòng,26/10/2024,61 m²,"6,68 tỷ",Tây,,26/10/2024,05/11/2024,Tin thường,40154047,,,,,,"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh"
,"4,5 tỷ","Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",,42 m²,4 phòng,3 phòng,17/10/2024,42 m²,"4,5 tỷ",Đông,,17/10/2024,01/11/2024,Tin thường,41244705,,,,,,"Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh"
Vinhomes Golden River Ba Son,18 triệu/tháng,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",,50 m²,1 phòng,1 phòng,21/10/2024,50 m²,18 triệu/tháng,,Nam,21/10/2024,28/10/2024,Tin VIP Vàng,41277956,Vinhomes Golden River Ba Son,Đã bàn giao 4 tòa. Đang mở bán 2 tòa,5,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
,"24,9 tỷ","Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh",,"95,2 m²",10 phòng,8 phòng,23/10/2024,"95,2 m²","24,9 tỷ",,,23/10/2024,02/11/2024,Tin thường,41083634,,,,,,"Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh"
Verosa Park Khang Điền,"14,5 tỷ","Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,102 m²,3 phòng,4 phòng,15/10/2024,102 m²,"14,5 tỷ",Đông,Đông,15/10/2024,30/10/2024,Tin thường,40918731,Verosa Park Khang Điền,Đã bàn giao,296,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
,"24,9 tỷ","Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh",,"95,2 m²",10 phòng,8 phòng,23/10/2024,"95,2 m²","24,9 tỷ",,,23/10/2024,02/11/2024,Tin thường,41083634,,,,,,"Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh"
,"4,39 tỷ","Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",,70 m²,10 phòng,10 phòng,22/10/2024,70 m²,"4,39 tỷ",,,22/10/2024,01/11/2024,Tin thường,41285325,,,,,,"Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh"
Safira Khang Điền,"3,25 tỷ","Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,67 m²,2 phòng,2 phòng,26/10/2024,67 m²,"3,25 tỷ",Đông,Tây,26/10/2024,05/11/2024,Tin thường,41244596,Safira Khang Điền,Đã bàn giao,1.570,4,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
Safira Khang Điền,"3,25 tỷ","Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,67 m²,2 phòng,2 phòng,26/10/2024,67 m²,"3,25 tỷ",Đông,Tây,26/10/2024,05/11/2024,Tin thường,41244596,Safira Khang Điền,Đã bàn giao,1.570,4,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
,"8,5 tỷ","Đường Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh",,52 m²,,,27/10/2024,52 m²,"8,5 tỷ",,,27/10/2024,06/11/2024,Tin thường,40822975,,,,,,"Đường Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh"
,"3,5 tỷ","Đường Nguyễn Thị Căn, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",,92 m²,3 phòng,2 phòng,18/10/2024,92 m²,"3,5 tỷ",,,18/10/2024,28/10/2024,Tin thường,41250270,,,,,,"Đường Nguyễn Thị Căn, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
,"8,9 tỷ","Đường Lê Văn Thọ, Phường 14, Gò Vấp, Hồ Chí Minh",,64 m²,,,20/10/2024,64 m²,"8,9 tỷ",,,20/10/2024,30/10/2024,Tin thường,41265392,,,,,,"Đường Lê Văn Thọ, Phường 14, Gò Vấp, Hồ Chí Minh"
,"8,9 tỷ","Đường Lê Văn Thọ, Phường 14, Gò Vấp, Hồ Chí Minh",,64 m²,,,20/10/2024,64 m²,"8,9 tỷ",,,20/10/2024,30/10/2024,Tin thường,41265392,,,,,,"Đường Lê Văn Thọ, Phường 14, Gò Vấp, Hồ Chí Minh"
,5 tỷ,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",,80 m²,,,27/10/2024,80 m²,5 tỷ,,,27/10/2024,06/11/2024,Tin thường,41334719,,,,,,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh"
,30 tỷ,"Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",,1.206 m²,,,27/10/2024,1.206 m²,30 tỷ,,,27/10/2024,06/11/2024,Tin thường,39863573,,,,,,"Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh"
,35 tỷ,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,356 m²,,,27/10/2024,356 m²,35 tỷ,,,27/10/2024,06/11/2024,Tin thường,41333869,,,,,,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
,"7,5 tỷ","Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",,70 m²,5 phòng,6 phòng,19/10/2024,70 m²,"7,5 tỷ",,,19/10/2024,29/10/2024,Tin thường,41106488,,,,,,"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
,"7,5 tỷ","Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",,70 m²,5 phòng,6 phòng,19/10/2024,70 m²,"7,5 tỷ",,,19/10/2024,29/10/2024,Tin thường,41106488,,,,,,"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
,"13,4 tỷ","Đường Kinh Dương Vương, Phường 13, Quận 6, Hồ Chí Minh",,88 m²,3 phòng,2 phòng,27/10/2024,88 m²,"13,4 tỷ",Đông - Nam,,27/10/2024,06/11/2024,Tin thường,40133175,,,,,,"Đường Kinh Dương Vương, Phường 13, Quận 6, Hồ Chí Minh"
Feliz En Vista,24 tỷ,"Dự án Feliz En Vista, Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh.",,239 m²,5 phòng,5 phòng,27/10/2024,239 m²,24 tỷ,,Tây - Nam,27/10/2024,06/11/2024,Tin thường,13745445,Feliz En Vista,Đã bàn giao,1.127,4,CapitaLand Development (Việt Nam),"Dự án Feliz En Vista, Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh."
,"8,8 tỷ","Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",,80 m²,6 phòng,7 phòng,27/10/2024,80 m²,"8,8 tỷ",Bắc,Bắc,27/10/2024,06/11/2024,Tin thường,40651364,,,,,,"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh"
,"8,8 tỷ","Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",,80 m²,6 phòng,7 phòng,27/10/2024,80 m²,"8,8 tỷ",Bắc,Bắc,27/10/2024,06/11/2024,Tin thường,40651364,,,,,,"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh"
The Beverly Solari - Vinhomes Grand Park,"2,71 tỷ","Dự án The Beverly Solari - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",,60 m²,2 phòng,2 phòng,24/10/2024,60 m²,"2,71 tỷ",Đông - Bắc,Tây - Nam,24/10/2024,03/11/2024,Tin thường,41206376,The Beverly Solari - Vinhomes Grand Park,Sắp bàn giao,27-120 m²,9.500,Tập đoàn Vingroup,"Dự án The Beverly Solari - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh"
,"6,3 tỷ","Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",,60 m²,5 phòng,6 phòng,27/10/2024,60 m²,"6,3 tỷ",Đông,Đông,27/10/2024,06/11/2024,Tin thường,40739208,,,,,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
,"6,3 tỷ","Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",,60 m²,5 phòng,6 phòng,27/10/2024,60 m²,"6,3 tỷ",Đông,Đông,27/10/2024,06/11/2024,Tin thường,40739208,,,,,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh"
,27 tỷ,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",,150 m²,8 phòng,10 phòng,19/10/2024,150 m²,27 tỷ,,,19/10/2024,29/10/2024,Tin thường,41161239,,,,,,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh"
Viva Riverside,10 triệu,"Dự án Viva Riverside, Đường Võ Văn Kiệt, Phường 3, Quận 6, Hồ Chí Minh",,69 m²,2 phòng,2 phòng,21/10/2024,69 m²,10 triệu,Tây - Bắc,Đông - Nam,21/10/2024,31/10/2024,Tin thường,41134433,Viva Riverside,Bàn giao năm 2018,50-105 m²,567,Công ty CP Thương mại Địa ốc Việt (Vietcomreal),"Dự án Viva Riverside, Đường Võ Văn Kiệt, Phường 3, Quận 6, Hồ Chí Minh"
,"27,9 tỷ","Đường Cộng Hòa, Phường 12, Tân Bình, Hồ Chí Minh",,112 m²,5 phòng,5 phòng,26/10/2024,112 m²,"27,9 tỷ",,,26/10/2024,05/11/2024,Tin thường,41016604,,,,,,"Đường Cộng Hòa, Phường 12, Tân Bình, Hồ Chí Minh"
Diamond Centery,"6,2 tỷ","Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",,96 m²,2 phòng,2 phòng,25/10/2024,96 m²,"6,2 tỷ",,,25/10/2024,01/11/2024,Tin VIP Bạc,41035150,Diamond Centery,Đang mở bán,79-270.5 m²,746,Công ty Cổ phần Gamuda Land Việt Nam,"Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
,"27,8 tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",,149 m²,3 phòng,4 phòng,25/10/2024,149 m²,"27,8 tỷ",,,25/10/2024,04/11/2024,Tin thường,41006377,,,,,,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"
Vinhomes Golden River Ba Son,18 triệu/tháng,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",,50 m²,1 phòng,1 phòng,21/10/2024,50 m²,18 triệu/tháng,,Nam,21/10/2024,28/10/2024,Tin VIP Vàng,41277956,Vinhomes Golden River Ba Son,Đã bàn giao 4 tòa. Đang mở bán 2 tòa,5,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
,30 tỷ,"Đường Mai Xuân Thưởng, Phường 4, Quận 6, Hồ Chí Minh",,166 m²,6 phòng,6 phòng,27/10/2024,166 m²,30 tỷ,,,27/10/2024,06/11/2024,Tin thường,41108203,,,,,,"Đường Mai Xuân Thưởng, Phường 4, Quận 6, Hồ Chí Minh"
Grand Marina Saigon,21 tỷ,"Dự án Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",,63 m²,1 phòng,1 phòng,25/10/2024,63 m²,21 tỷ,,Đông - Bắc,25/10/2024,04/11/2024,Tin VIP Bạc,38652855,Grand Marina Saigon,Đang mở bán,4.000,5,Masterise Homes,"Dự án Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
,12 tỷ,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",,"61,53 m²",4 phòng,3 phòng,25/10/2024,"61,53 m²",12 tỷ,Đông - Nam,,25/10/2024,04/11/2024,Tin thường,39943170,,,,,,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"
,"2,4 tỷ","Đường Hậu Giang, Phường 12, Quận 6, Hồ Chí Minh",,"16,1 m²",2 phòng,1 phòng,26/10/2024,"16,1 m²","2,4 tỷ",Tây - Nam,Tây,26/10/2024,05/11/2024,Tin thường,41332372,,,,,,"Đường Hậu Giang, Phường 12, Quận 6, Hồ Chí Minh"
,25 tỷ,"Đường Cư Xá Phú Lâm A, Phường 12, Quận 6, Hồ Chí Minh",,180 m²,,,27/10/2024,180 m²,25 tỷ,Đông - Nam,,27/10/2024,06/11/2024,Tin thường,41106021,,,,,,"Đường Cư Xá Phú Lâm A, Phường 12, Quận 6, Hồ Chí Minh"
Celadon City,"7,8 tỷ","Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",,117 m²,3 phòng,3 phòng,21/10/2024,117 m²,"7,8 tỷ",Đông - Bắc,Tây - Nam,21/10/2024,20/11/2024,Tin thường,41269860,Celadon City,Dự kiến 11/2022 bàn giao phân khu Diamond,Công ty Cổ phần Gamuda Land Việt Nam,,Công ty Cổ phần Gamuda Land Việt Nam,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
,Thỏa thuận,"Đường Trần Tử Bình, Xã Tân Thông Hội, Củ Chi, Hồ Chí Minh",,232 m²,,,25/10/2024,232 m²,Thỏa thuận,,,25/10/2024,01/11/2024,Tin VIP Bạc,41322659,,,,,,"Đường Trần Tử Bình, Xã Tân Thông Hội, Củ Chi, Hồ Chí Minh"
,"2,15 tỷ","Đường Vũ Tùng, Phường 2, Bình Thạnh, Hồ Chí Minh",,39 m²,2 phòng,2 phòng,27/10/2024,39 m²,"2,15 tỷ",,,27/10/2024,06/11/2024,Tin thường,41332235,,,,,,"Đường Vũ Tùng, Phường 2, Bình Thạnh, Hồ Chí Minh"
,"12,7 tỷ","Đường Phùng Văn Cung, Phường 7, Phú Nhuận, Hồ Chí Minh",,68 m²,5 phòng,,26/10/2024,68 m²,"12,7 tỷ",,,26/10/2024,05/11/2024,Tin thường,41326819,,,,,,"Đường Phùng Văn Cung, Phường 7, Phú Nhuận, Hồ Chí Minh"
,"5,9 tỷ","Đường Thạnh Lộc 43, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",,"51,6 m²",4 phòng,6 phòng,22/10/2024,"51,6 m²","5,9 tỷ",Tây - Nam,,22/10/2024,01/11/2024,Tin thường,40916887,,,,,,"Đường Thạnh Lộc 43, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
,"2,63 tỷ","Đường Hiệp Thành 26, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",,120 m²,3 phòng,3 phòng,25/10/2024,120 m²,"2,63 tỷ",,,25/10/2024,01/11/2024,Tin VIP Bạc,41322541,,,,,,"Đường Hiệp Thành 26, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
,Thỏa thuận,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",,128 m²,2 phòng,2 phòng,21/10/2024,128 m²,Thỏa thuận,,,21/10/2024,31/10/2024,Tin thường,41270839,,,,,,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh"
Lumiere Riverside,"6,55 tỷ","Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",,50 m²,1 phòng,1 phòng,24/10/2024,50 m²,"6,55 tỷ",,Đông - Bắc,24/10/2024,23/11/2024,Tin thường,37657333,Lumiere Riverside,Đang mở bán,2,Công ty CP Ðịa ốc Thảo Ðiền,Công ty CP Ðịa ốc Thảo Ðiền,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
,"1,88 tỷ","Đường Hồ Văn Long, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",,32 m²,2 phòng,2 phòng,25/10/2024,32 m²,"1,88 tỷ",,,25/10/2024,01/11/2024,Tin VIP Bạc,41318753,,,,,,"Đường Hồ Văn Long, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
Verosa Park Khang Điền,12 tỷ,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,90 m²,4 phòng,3 phòng,17/10/2024,90 m²,12 tỷ,Tây,Tây,17/10/2024,01/11/2024,Tin thường,40938495,Verosa Park Khang Điền,Đã bàn giao,296,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
Diamond Centery,"7,54 tỷ","Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",,121 m²,3 phòng,3 phòng,15/10/2024,121 m²,"7,54 tỷ",,,15/10/2024,14/11/2024,Tin thường,41115556,Diamond Centery,Đang mở bán,79-270.5 m²,746,Công ty Cổ phần Gamuda Land Việt Nam,"Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
Lavida Plus,"2,9 tỷ","Dự án Lavida Plus, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",,55 m²,1 phòng,1 phòng,25/10/2024,55 m²,"2,9 tỷ",,,25/10/2024,09/11/2024,Tin VIP Bạc,41322371,Lavida Plus,Đã bàn giao,53-96 m²,1.212,Công ty CP Quốc Cường Gia Lai,"Dự án Lavida Plus, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh"
,"4,5 tỷ","Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",,42 m²,4 phòng,3 phòng,17/10/2024,42 m²,"4,5 tỷ",Đông,,17/10/2024,01/11/2024,Tin thường,41244705,,,,,,"Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh"
Lumiere Riverside,"6,2 tỷ","Dự án Lumiere Riverside, Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh",,52 m²,1 phòng,1 phòng,23/10/2024,52 m²,"6,2 tỷ",,,23/10/2024,30/10/2024,Tin thường,41007787,Lumiere Riverside,Đang mở bán,2,Công ty CP Ðịa ốc Thảo Ðiền,Công ty CP Ðịa ốc Thảo Ðiền,"Dự án Lumiere Riverside, Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh"
Akari City Nam Long,"2,69 tỷ","Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",,56 m²,2 phòng,1 phòng,14/10/2024,56 m²,"2,69 tỷ",,,14/10/2024,29/10/2024,Tin VIP Bạc,32679816,Akari City Nam Long,11/2023: cất nóc 4 tòa tháp Akari City giai đoạn 2,5.000,16,Công ty CP Đầu tư Nam Long,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
